method,assignment_key,requested_K,realized_K,metacell_id,metacell_size,mast_count,purity,fold_enrichment,fisher_p,fisher_q,is_target_containing,is_associated,is_majority,is_high_purity
GARQ,metacell,403,403,24,49,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,230,67,1,0.014925373134328358,3.255949979830577,0.26542898847379326,1.0,True,False,False,False
GARQ,metacell,403,403,172,59,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,341,49,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,7,34,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,120,50,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,192,48,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,361,63,19,0.30158730158730157,65.7908622908623,1.5639497980010799e-30,6.302717685944352e-28,True,True,False,False
GARQ,metacell,403,403,204,34,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,183,57,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,398,50,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,307,34,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,189,60,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,133,46,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,294,53,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,116,54,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,33,64,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,105,46,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,130,58,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,168,50,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,137,39,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,269,25,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,234,64,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,354,53,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,138,82,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,9,61,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,277,52,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,369,42,1,0.023809523809523808,5.194015444015444,0.17569769759075035,1.0,True,False,False,False
GARQ,metacell,403,403,212,58,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,217,50,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,64,63,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,131,30,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,191,28,0,0.0,0.0,1.0,1.0,False,False,False,False
GARQ,metacell,403,403,174,45,0,0.0,0.0,1.0,1.0,False,False,False,False
