method,assignment_key,requested_K,realized_K,metacell_id,metacell_size,mast_count,purity,fold_enrichment,fisher_p,fisher_q,is_target_containing,is_associated,is_majority,is_high_purity
GARQ,metacell,403,403,361,63,19,0.30158730158730157,65.7908622908623,1.5639497980010799e-30,6.302717685944352e-28,True,True,False,False
GARQ,metacell,403,403,229,59,10,0.1694915254237288,36.97434722858451,1.1447872804191084e-13,2.3067463700445033e-11,True,True,False,False
GARQ,metacell,403,403,315,53,7,0.1320754716981132,28.812085670576238,4.144693084644455e-09,5.56770437703905e-07,True,True,False,False
GARQ,metacell,403,403,3,68,6,0.08823529411764706,19.248410174880764,6.59865452757561e-07,6.648144436532427e-05,True,True,False,False
GARQ,metacell,403,403,56,17,1,0.058823529411764705,12.832273449920509,0.0751710693686296,1.0,True,False,False,False
MetaQ,metacell,403,403,34,50,11,0.22,47.9927027027027,2.8023455474727e-16,1.1293452556314982e-13,True,True,False,False
MetaQ,metacell,403,403,345,47,9,0.19148936170212766,41.77314548591144,6.408345452650746e-13,1.2912816087091254e-10,True,True,False,False
MetaQ,metacell,403,403,22,49,8,0.16326530612244897,35.616105901820184,5.126699469920884e-11,6.886866287927054e-09,True,True,False,False
MetaQ,metacell,403,403,97,34,5,0.14705882352941177,32.080683624801274,4.4270313637521956e-07,4.4602340989803374e-05,True,True,False,False
MetaQ,metacell,403,403,397,26,3,0.11538461538461539,25.170997920997923,0.00022286464713592644,0.01496907546596306,True,True,False,False
SEACells,SEACell,403,403,SEACell-210,11,3,0.2727272727272727,59.495085995085994,1.4860183005877716e-05,0.00299432687568436,True,True,False,False
SEACells,SEACell,403,403,SEACell-166,10,2,0.2,43.62972972972973,0.0009109403835345432,0.055919741843137395,True,False,False,False
SEACells,SEACell,403,403,SEACell-168,22,4,0.18181818181818182,39.663390663390665,2.795335427109279e-06,0.0011265201771250395,True,True,False,False
SEACells,SEACell,403,403,SEACell-226,11,2,0.18181818181818182,39.663390663390665,0.0011100693169853577,0.055919741843137395,True,False,False,False
SEACells,SEACell,403,403,SEACell-387,11,2,0.18181818181818182,39.663390663390665,0.0011100693169853577,0.055919741843137395,True,False,False,False
MetaCell V2,metacell,403,429,204,46,4,0.08695652173913043,18.969447708578144,5.738161769516424e-05,0.02461671399122546,True,True,False,False
MetaCell V2,metacell,403,429,199,55,4,0.07272727272727272,15.865356265356265,0.00011624960371166461,0.02493553999615206,True,True,False,False
MetaCell V2,metacell,403,429,5,32,2,0.0625,13.63429054054054,0.009407568499436008,0.7139291328840874,True,False,False,False
MetaCell V2,metacell,403,429,422,33,2,0.06060606060606061,13.221130221130222,0.009985022837539685,0.7139291328840874,True,False,False,False
MetaCell V2,metacell,403,429,178,68,4,0.058823529411764705,12.832273449920509,0.00026538832803309675,0.037950530908732835,True,True,False,False
SuperCell,metacell,403,404,383,7,2,0.2857142857142857,62.32818532818533,0.00042891317432093687,0.04332023060641462,True,False,False,False
SuperCell,metacell,403,404,380,7,1,0.14285714285714285,31.164092664092664,0.03165609024299604,0.9135043184407428,True,False,False,False
SuperCell,metacell,403,404,384,7,1,0.14285714285714285,31.164092664092664,0.03165609024299604,0.9135043184407428,True,False,False,False
SuperCell,metacell,403,404,344,16,2,0.125,27.26858108108108,0.002386299164743538,0.1377235517937699,True,False,False,False
SuperCell,metacell,403,404,81,27,3,0.1111111111111111,24.23873873873874,0.0002498988303559634,0.03573896150845703,True,True,False,False
