method,population,status,target_count,abundance,majority_recall,majority_metacell_count,maximum_purity,median_majority_metacell_size
GARQ,Mast Cells,PASS,74,0.004584030229820975,0.0,0,0.30158730158730157,
GARQ,T Cells,PASS,88,0.005451279192219538,0.6704545454545454,1,0.8676470588235294,68.0
GARQ,Myeloid Cells,PASS,682,0.042247413739701416,0.8592375366568915,10,1.0,62.5
MetaQ,Mast Cells,PASS,74,0.004584030229820975,0.0,0,0.22,
MetaQ,T Cells,PASS,88,0.005451279192219538,0.7045454545454546,2,0.8235294117647058,41.0
MetaQ,Myeloid Cells,PASS,682,0.042247413739701416,0.8885630498533724,16,1.0,44.0
SEACells,Mast Cells,PASS,74,0.004584030229820975,0.0,0,0.2727272727272727,
SEACells,T Cells,PASS,88,0.005451279192219538,0.26136363636363635,2,1.0,12.5
SEACells,Myeloid Cells,PASS,682,0.042247413739701416,0.9222873900293255,76,1.0,9.0
MetaCell V2,Mast Cells,PASS,74,0.004584030229820975,0.0,0,0.08695652173913043,
MetaCell V2,T Cells,PASS,88,0.005451279192219538,0.0,0,0.35294117647058826,
MetaCell V2,Myeloid Cells,PASS,682,0.042247413739701416,0.7038123167155426,11,1.0,46.0
SuperCell,Mast Cells,PASS,74,0.004584030229820975,0.0,0,0.2857142857142857,
SuperCell,T Cells,PASS,88,0.005451279192219538,0.19318181818181818,2,0.8,11.0
SuperCell,Myeloid Cells,PASS,682,0.042247413739701416,0.6524926686217009,31,1.0,13.0
