label,absolute_path,exists,file_size,fingerprint,n_obs,n_vars,obs_names_unique,obs_columns,obsm_keys,layers,x_type,x_dtype,status,selected_assignment_key
canonical RNA,/home/zhangpeiru/data/analysis/new/kidney_rna_updated.h5ad,True,2100340468,fastsha256:c058d9123f2c3abc2ad32bc9a5bb9695b0bcd7b9548c440d22d966817834e2af:size=2100340468:mtime_ns=1781418832883858828,16143,32445,True,"[""orig.ident"", ""nCount_RNA"", ""nFeature_RNA"", ""nCount_ATAC"", ""nFeature_ATAC"", ""percent.mt"", ""nucleosome_signal"", ""nucleosome_percentile"", ""TSS.enrichment"", ""TSS.percentile"", ""nCount_SCT"", ""nFeature_SCT"", ""SCT.weight"", ""ATAC.weight"", ""wsnn_res.0.2"", ""seurat_clusters"", ""celltype""]",[],[],Dataset,float32,PASS_AUDIT,
canonical ATAC,/home/zhangpeiru/data/analysis/new/kidney_atac_updated.h5ad,True,4346075920,fastsha256:e9bfd3623de5f7f0b6f01f30a98b50a23a54a08b0889211383254b99f62da92e:size=4346075920:mtime_ns=1781418844271955962,16143,67150,True,"[""orig.ident"", ""nCount_RNA"", ""nFeature_RNA"", ""nCount_ATAC"", ""nFeature_ATAC"", ""percent.mt"", ""nucleosome_signal"", ""nucleosome_percentile"", ""TSS.enrichment"", ""TSS.percentile"", ""nCount_SCT"", ""nFeature_SCT"", ""SCT.weight"", ""ATAC.weight"", ""wsnn_res.0.2"", ""seurat_clusters"", ""celltype""]",[],[],Dataset,float32,PASS_AUDIT,
assignment GARQ,/home/zhangpeiru/results/1_ours/RNA_ATAC/kidney/kidney403_403metacell_k5_ids.h5ad,True,10673271,fastsha256:1338bcc9f3600f8f81f2c2f6bb8d53c7bbc4d1b49038218f42e1a7513a457d9d:size=10673271:mtime_ns=1777528160349912416,16143,64,True,"[""metacell"", ""celltype""]","[""X_umap""]",[],Dataset,float32,PASS_AUDIT,metacell
assignment MetaQ,/home/zhangpeiru/results/2_MetaQ/RNA_ATAC/kidney/kidney403_403metacell_ids.h5ad,True,10991223,fastsha256:33deee631c46b7dcf7f161523276c8c616e60e25b7ad9d4a4a2d7b5dd3abde44:size=10991223:mtime_ns=1777528086549309473,16143,64,True,"[""metacell"", ""celltype""]","[""X_umap""]",[],Dataset,float32,PASS_AUDIT,metacell
assignment SEACells,/home/zhangpeiru/vscode/SEACells-main/ours/save/RNA+ATAC/kidney/kidney_ad.h5ad,True,4217892227,fastsha256:54f4c614250e78c68d3d3bbb402852f4a7fea61ac4da130013db6041bc27edd1:size=4217892227:mtime_ns=1769590379955392391,16143,32445,True,"[""orig.ident"", ""nCount_RNA"", ""nFeature_RNA"", ""nCount_ATAC"", ""nFeature_ATAC"", ""percent.mt"", ""nucleosome_signal"", ""nucleosome_percentile"", ""TSS.enrichment"", ""TSS.percentile"", ""nCount_SCT"", ""nFeature_SCT"", ""SCT.weight"", ""ATAC.weight"", ""wsnn_res.0.2"", ""seurat_clusters"", ""celltype"", ""n_counts"", ""SEACell""]","[""X_joint"", ""X_pca""]",[],Dataset,float32,PASS_AUDIT,SEACell
assignment MetaCell V2,/home/zhangpeiru/results/4_mc2/RNA_ATAC/kidney/kidney_metacells2_ad.h5ad,True,2122653462,fastsha256:7850d014b28cd47955ab91a56e4bf96cf55374ae9c8e0bd2597bcfcc59302256:size=2122653462:mtime_ns=1769588151485560851,16143,32445,True,"[""orig.ident"", ""nCount_RNA"", ""nFeature_RNA"", ""nCount_ATAC"", ""nFeature_ATAC"", ""percent.mt"", ""nucleosome_signal"", ""nucleosome_percentile"", ""TSS.enrichment"", ""TSS.percentile"", ""nCount_SCT"", ""nFeature_SCT"", ""SCT.weight"", ""ATAC.weight"", ""wsnn_res.0.2"", ""seurat_clusters"", ""celltype"", ""excluded_umis"", ""properly_sampled_cell"", ""excluded_cell"", ""metacell"", ""dissolved"", ""metacell_level"", ""cells_rare_gene_module"", ""rare_cell"", ""membership"", ""metacell_name""]","[""X_joint"", ""X_pca""]",[],Dataset,float32,PASS_AUDIT,metacell
assignment SuperCell,/home/zhangpeiru/results/5_supercell/RNA_ATAC/kidney/kidney_supercell.h5ad,True,4193767517,fastsha256:95f6fa8e9d919512377c26031b09aba069795e543c405074e29a77a08797c504:size=4193767517:mtime_ns=1769588528264607090,16143,32445,True,"[""celltype"", ""metacell"", ""cell_line"", ""supercell_size""]",[],[],Dataset,float64,PASS_AUDIT,metacell
profile GARQ RNA,/home/zhangpeiru/data/analysis/new/kidney_403metacell_rna.h5ad,True,53771884,fastsha256:aa5563acbdfedf55d088038cea6132b308e75a0a8b0544449e1db42ab2215ab5:size=53771884:mtime_ns=1769149285419786884,403,32445,True,"[""celltype""]",[],[],Dataset,float32,PASS_AUDIT,
profile GARQ ATAC,/home/zhangpeiru/data/analysis/new/kidney_403metacell_atac.h5ad,True,112073864,fastsha256:25dc464c136ed443091200ae64b26f9ea4b6fb95274b254cccdad74e2181471a:size=112073864:mtime_ns=1769149285563788007,403,67150,True,"[""celltype""]",[],[],Dataset,float32,PASS_AUDIT,
profile MetaQ RNA,/home/zhangpeiru/results/2_MetaQ/RNA_ATAC/kidney/kidney_RNA_403metacell.h5ad,True,53640812,fastsha256:f5ef6bcb47cdb3fe1bcba5bcd89ba8c3717518619d82fad12545838e99cb2a39:size=53640812:mtime_ns=1769606736854980231,403,32445,True,"[""celltype""]",[],[],Dataset,float32,PASS_AUDIT,
profile MetaQ ATAC,/home/zhangpeiru/results/2_MetaQ/RNA_ATAC/kidney/kidney_ATAC_403metacell.h5ad,True,110992520,fastsha256:f2496163032aa0b533bf09c0157fb4d8b1f8114af487179b7255dd9304a8b18a:size=110992520:mtime_ns=1769606767975224822,403,67150,True,"[""celltype""]",[],[],Dataset,float32,PASS_AUDIT,
profile SEACells RNA,/home/zhangpeiru/vscode/SEACells-main/ours/save/RNA+ATAC/kidney/kidney_rna_metacells.h5ad,True,107461912,fastsha256:45bc60622645544183b5e222098d97de38604ce8dc08d19b48ebab8f5b3a9e35:size=107461912:mtime_ns=1769598372860267342,403,32445,True,"[""metacell_id"", ""n_cells"", ""modality"", ""celltype""]",[],[],Dataset,float64,PASS_AUDIT,
profile SEACells ATAC,/home/zhangpeiru/vscode/SEACells-main/ours/save/RNA+ATAC/kidney/kidney_atac_metacells.h5ad,True,224115024,fastsha256:5858eddda7ce0eca28a7dbdffb601b08482e733afcfced85f384399748dd0a5c:size=224115024:mtime_ns=1769598373140269641,403,67150,True,"[""metacell_id"", ""n_cells"", ""modality"", ""celltype""]",[],[],Dataset,float64,PASS_AUDIT,
profile MetaCell V2 RNA,/home/zhangpeiru/results/4_mc2/RNA_ATAC/kidney/kidney_rna_metacells.h5ad,True,114209588,fastsha256:9ee1df07ec123387a7680dabfbff8e42e338edc29ae6e6cf31577eb0abd0c927:size=114209588:mtime_ns=1769598175066657410,429,32445,True,"[""metacell_id"", ""n_cells"", ""modality"", ""celltype""]",[],[],Dataset,float64,PASS_AUDIT,
profile MetaCell V2 ATAC,/home/zhangpeiru/results/4_mc2/RNA_ATAC/kidney/kidney_atac_metacells.h5ad,True,238081340,fastsha256:b51acf1d9aa1748df398017f732a5d81e8560b35fb139daf4a25a628eb6d83dd:size=238081340:mtime_ns=1769598175786663140,429,67150,True,"[""metacell_id"", ""n_cells"", ""modality"", ""celltype""]",[],[],Dataset,float64,PASS_AUDIT,
