metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells,source_file
0,86,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
1,249,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
2,9,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
3,7,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
4,10,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
5,8,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
6,208,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
7,96,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
8,40,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
9,21,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
10,14,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
11,1,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
12,162,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
13,196,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
14,51,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
15,40,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
16,8,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
17,201,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
18,433,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
19,160,D11,GARQ,0,instrumented_legacy,0.01,20,20,2000,revision_results/01_size_resolution/smoke/D11/K001_seed0/metacell_size_long.csv
0,13,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
2,8,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
3,5,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
4,58,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
5,100,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
6,80,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
7,58,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
8,2,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
9,16,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
10,1,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
11,1,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
12,93,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
13,5,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
14,5,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
15,57,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
16,41,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
17,106,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
18,5,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
19,13,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
20,19,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
21,19,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
22,14,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
23,6,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
24,1,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
25,3,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
26,1,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
27,18,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
28,12,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
29,5,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
30,25,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
31,36,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
33,1,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
35,1,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
36,47,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
37,10,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
38,1,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
39,4,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
40,4,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
42,1,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
44,18,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
45,5,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
46,153,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
47,20,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
48,23,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
49,11,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
50,63,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
51,153,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
52,2,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
53,11,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
54,5,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
55,25,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
56,11,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
57,6,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
58,4,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
59,2,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
60,11,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
62,4,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
63,45,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
64,1,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
65,5,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
66,1,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
67,51,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
68,14,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
69,56,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
70,5,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
71,57,D11,GARQ,0,instrumented_legacy,0.05,100,90,2000,revision_results/01_size_resolution/smoke/D11/K005_seed0/metacell_size_long.csv
