metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,8,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
1,25,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
2,10,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
3,6,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
4,4,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
5,31,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
6,11,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
7,139,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
9,23,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
10,11,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
11,56,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
12,3,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
13,22,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
14,137,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
15,12,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
16,29,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
17,285,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
18,130,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
19,26,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
20,39,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
21,8,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
22,13,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
23,47,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
24,6,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
26,265,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
27,170,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
28,2,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
29,78,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
30,63,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
31,3,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
32,1,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
33,6,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
34,3,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
35,3,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
36,133,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
37,18,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
38,172,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
39,2,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,38,2000
