dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,B1 B,0.0385,Intermediate,77,0.3684210526315789,0.09090909090909091,0.14583333333333334,1,0.3684210526315789,0.3684210526315789,47.0,139.9999999999999,191.0,0.0,0.09090909090909091,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD14+ Mono,0.047,Intermediate,94,0.5645161290322581,0.7446808510638298,0.6422018348623854,4,0.5432557638439991,0.5645161290322581,28.0,78.5,106.0,0.0,0.7446808510638298,2,0.18181818181818182,1,0.09090909090909091
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD16+ Mono,0.011,Intermediate,22,0.0,0.0,0.0,0,,,39.5,92.25,106.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T activated,0.0735,Intermediate,147,0.3269230769230769,0.11564625850340136,0.1708542713567839,3,0.49376218323586746,0.3269230769230769,24.0,285.69999999999965,445.0,0.0,0.11564625850340136,1,0.05263157894736842,1,0.05263157894736842
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T naive,0.028,Intermediate,56,0.0,0.0,0.0,0,,,26.5,279.8999999999999,445.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8+ T,0.4305,Common,861,0.8140900195694716,0.9663182346109176,0.8836962294211365,16,0.7671653270314103,0.8140900195694716,19.0,166.99999999999994,445.0,0.0011614401858304297,0.9663182346109176,16,0.5925925925925926,11,0.4074074074074074
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroblast,0.033,Intermediate,66,0.0,0.0,0.0,0,,,268.0,268.0,268.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,G/M prog,0.0085,Rare,17,0.0,0.0,0.0,0,,,32.0,94.99999999999999,106.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,HSC,0.0115,Intermediate,23,0.3125,0.21739130434782608,0.2564102564102564,2,0.30952380952380953,0.3125,12.5,195.09999999999982,268.0,0.0,0.21739130434782608,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Lymph prog,0.03,Intermediate,60,0.3157894736842105,0.1,0.15189873417721522,2,0.30952380952380953,0.3157894736842105,25.0,93.25,106.0,0.0,0.1,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MK/E prog,0.011,Intermediate,22,0.0,0.0,0.0,0,,,19.0,224.59999999999997,268.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK,0.001,Rare,2,0.0,0.0,0.0,0,,,237.0,424.2,445.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive CD20+ B,0.0895,Intermediate,179,0.5054945054945055,0.5139664804469274,0.5096952908587257,3,0.4936401613367905,0.5054945054945055,36.5,96.64999999999999,106.0,0.0,0.5139664804469274,1,0.08333333333333333,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Normoblast,0.0085,Rare,17,0.0,0.0,0.0,0,,,356.5,436.15,445.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cell,0.005,Rare,10,0.0,0.0,0.0,0,,,80.0,170.59999999999997,191.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Proerythroblast,0.083,Intermediate,166,0.6156716417910447,0.9939759036144579,0.76036866359447,1,0.6156716417910447,0.6156716417910447,178.5,259.05,268.0,0.0,0.9939759036144579,1,0.5,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Transitional B,0.0715,Intermediate,143,0.3389261744966443,0.7062937062937062,0.4580498866213152,8,0.4225420442163216,0.3389261744966443,28.0,122.99999999999994,191.0,0.0,0.7062937062937062,3,0.17647058823529413,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,cDC2,0.017,Intermediate,34,0.0,0.0,0.0,0,,,33.5,195.09999999999982,268.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,pDC,0.002,Rare,4,0.0,0.0,0.0,0,,,81.0,103.5,106.0,0.0,0.0,0,0.0,0,0.0
