metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,8,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,105,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,13,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,25,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,2,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,77,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,2,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,18,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,6,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,206,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,8,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,4,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,12,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,319,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,2,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,227,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,24,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,26,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,7,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,6,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,40,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,5,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,4,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,30,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,8,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,104,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,4,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,378,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,54,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,17,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,7,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,19,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,30,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,41,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,54,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,5,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,5,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,89,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,2,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,7,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,40,2000
