metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,158,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,255,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,107,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,6,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,207,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,5,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,5,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,5,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,164,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,30,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,3,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,3,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,7,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,4,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,10,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,8,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,128,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,19,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,3,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,36,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,12,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,5,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,177,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,63,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,3,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,2,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,111,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,32,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,85,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,44,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,5,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,128,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,5,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,16,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,11,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,21,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,11,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,3,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,24,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,79,D11,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
