metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,5,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
1,16,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
2,20,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
3,20,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
4,25,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
5,29,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
6,1,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
7,9,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
8,49,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
9,4,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
10,96,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
11,142,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
12,6,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
13,2,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
14,89,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
15,20,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
16,35,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
17,40,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
18,6,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
19,19,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
20,4,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
21,59,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
22,34,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
23,8,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
24,412,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
26,40,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
27,38,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
28,40,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
29,107,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
30,246,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
31,19,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
32,218,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
33,34,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
34,19,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
35,13,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
36,33,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
37,27,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
38,10,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
39,6,D11,GARQ,1,diagnostic_variant_rare_subsampling,0.02,40,39,2000
