dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,B1 B,0.034,Intermediate,68,0.2727272727272727,0.04411764705882353,0.0759493670886076,1,0.2727272727272727,0.2727272727272727,96.5,187.99999999999997,197.0,0.0,0.04411764705882353,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,CD14+ Mono,0.045,Intermediate,90,0.4954128440366973,0.6,0.542713567839196,1,0.4954128440366973,0.4954128440366973,105.0,108.6,109.0,0.0,0.6,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,CD16+ Mono,0.0095,Rare,19,0.0,0.0,0.0,0,,,107.0,108.8,109.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,CD4+ T activated,0.0655,Intermediate,131,0.52,0.09923664122137404,0.16666666666666666,4,0.5935064935064935,0.52,19.0,188.29999999999987,221.0,0.015267175572519083,0.09923664122137404,2,0.08333333333333333,1,0.041666666666666664
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,CD4+ T naive,0.033,Intermediate,66,0.4375,0.10606060606060606,0.17073170731707316,2,0.4642857142857143,0.4375,17.5,155.14999999999998,197.0,0.0,0.10606060606060606,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,CD8+ T,0.4235,Common,847,0.7572992700729927,0.9799291617473436,0.8543489449305198,19,0.6927768145716438,0.7572992700729927,25.0,192.0,221.0,0.0070838252656434475,0.9799291617473436,17,0.6538461538461539,10,0.38461538461538464
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Erythroblast,0.021,Intermediate,42,0.4,0.047619047619047616,0.0851063829787234,1,0.4,0.4,19.0,97.79999999999998,105.0,0.0,0.047619047619047616,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,G/M prog,0.005,Rare,10,0.0,0.0,0.0,0,,,132.5,153.65,156.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,HSC,0.011,Intermediate,22,0.0,0.0,0.0,0,,,105.0,170.7,177.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Lymph prog,0.0315,Intermediate,63,0.0,0.0,0.0,0,,,76.0,169.64999999999998,177.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,MK/E prog,0.0115,Intermediate,23,0.3076923076923077,0.17391304347826086,0.2222222222222222,1,0.3076923076923077,0.3076923076923077,81.0,168.6,177.0,0.0,0.17391304347826086,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,NK,0.0485,Intermediate,97,0.6666666666666666,0.020618556701030927,0.04,1,0.6666666666666666,0.6666666666666666,49.0,203.0,221.0,0.0,0.020618556701030927,1,0.0625,0,0.0
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Naive CD20+ B,0.087,Intermediate,174,0.57421875,0.8448275862068966,0.6837209302325581,2,0.5806410256410257,0.57421875,104.5,171.75,177.0,0.0,0.8448275862068966,2,0.3333333333333333,0,0.0
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Normoblast,0.009,Rare,18,0.0,0.0,0.0,0,,,55.0,127.39999999999999,139.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Plasma cell,0.004,Rare,8,0.0,0.0,0.0,0,,,71.5,171.75,177.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Proerythroblast,0.086,Intermediate,172,0.5467128027681661,0.9186046511627907,0.6854663774403472,6,0.5671298419470935,0.5467128027681661,62.5,130.14999999999998,156.0,0.0,0.9186046511627907,3,0.25,2,0.16666666666666666
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Transitional B,0.067,Intermediate,134,0.5423728813559322,0.7164179104477612,0.617363344051447,1,0.5423728813559322,0.5423728813559322,77.5,190.0,197.0,0.0,0.7164179104477612,1,0.125,0,0.0
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,cDC2,0.005,Rare,10,0.0,0.0,0.0,0,,,109.0,151.29999999999998,156.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,2,diagnostic_variant_rare_subsampling,0.02,pDC,0.003,Rare,6,0.0,0.0,0.0,0,,,70.0,105.1,109.0,0.0,0.0,0,0.0,0,0.0
