metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,8,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,143,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,38,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,8,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,23,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,38,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,21,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,44,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,28,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,19,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,31,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,19,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,17,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,15,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,93,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,18,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,26,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,35,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,12,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,7,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,17,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,273,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,8,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,8,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,15,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,21,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,10,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,299,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,5,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,5,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,18,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,14,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,37,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,13,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,10,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,43,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,8,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,247,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,17,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,289,D17,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
