dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Endothelial Cells,0.0055,Rare,11,0.0,0.0,0.0,0,,,65.0,388.0,430.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Injured PT-like,0.012,Intermediate,24,0.0,0.0,0.0,0,,,67.0,336.3999999999999,430.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Low Quality / Dying,0.042,Intermediate,84,0.0,0.0,0.0,0,,,31.0,262.0,430.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Mast Cells,0.002,Rare,4,0.0,0.0,0.0,0,,,262.0,413.2,430.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Myeloid Cells,0.0455,Intermediate,91,0.7846153846153846,0.5604395604395604,0.6538461538461537,3,0.8155065082059988,0.7846153846153846,24.5,175.5999999999998,262.0,0.16483516483516483,0.5604395604395604,3,0.3,3,0.3
D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Parietal Epithelial Cells,0.038,Intermediate,76,0.0,0.0,0.0,0,,,31.0,287.19999999999976,430.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Podocytes,0.084,Intermediate,168,0.6666666666666666,0.047619047619047616,0.08888888888888889,1,0.6666666666666666,0.6666666666666666,27.5,245.5,430.0,0.0,0.047619047619047616,1,0.038461538461538464,0,0.0
D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Proximal Tubule,0.405,Common,810,0.7057169634489222,0.9296296296296296,0.8023441662226958,17,0.697372528754892,0.7057169634489222,21.0,225.69999999999996,430.0,0.01728395061728395,0.9296296296296296,14,0.4375,9,0.28125
D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Stressed Tumor (p53+),0.0545,Intermediate,109,0.0,0.0,0.0,0,,,27.5,252.09999999999985,430.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,T Cells,0.004,Rare,8,0.0,0.0,0.0,0,,,70.0,242.79999999999998,262.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Tumor (Neuronal-like),0.087,Intermediate,174,0.4657534246575342,0.5862068965517241,0.5190839694656488,9,0.4778979680342569,0.4657534246575342,27.0,245.5,430.0,0.0,0.5862068965517241,3,0.11538461538461539,0,0.0
D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Tumor Epithelial,0.2205,Common,441,0.6750392464678179,0.9750566893424036,0.797773654916512,9,0.646567631975882,0.6750392464678179,25.0,167.09999999999997,262.0,0.0,0.9750566893424036,7,0.5,2,0.14285714285714285
