metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,59,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,30,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,25,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,139,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,99,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,202,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,2,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,3,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,10,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,30,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,40,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,34,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,16,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,20,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,7,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,2,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,14,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,4,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,8,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,7,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,11,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,10,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,38,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,29,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,153,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,21,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,6,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,172,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,28,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,12,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,5,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,13,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,342,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,188,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,33,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,44,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,10,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,27,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,99,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,8,D17,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,40,2000
