metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,18,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,33,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,9,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,83,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,16,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,23,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,3,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,20,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,29,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,15,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,17,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,9,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,369,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,9,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,16,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,5,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,80,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,20,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,50,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,43,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,7,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,11,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,103,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,11,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,16,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,88,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,32,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,240,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,16,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,17,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,2,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,382,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,21,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,26,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,63,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,14,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,15,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,23,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,9,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,37,D17,GARQ,2,diagnostic_variant_rare_subsampling,0.02,40,40,2000
