dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D17,GARQ,3,diagnostic_variant_rare_subsampling,0.02,Endothelial Cells,0.0035,Rare,7,0.0,0.0,0.0,0,,,54.0,75.39999999999999,80.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,3,diagnostic_variant_rare_subsampling,0.02,Injured PT-like,0.0125,Intermediate,25,0.0,0.0,0.0,0,,,103.0,280.5,360.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,3,diagnostic_variant_rare_subsampling,0.02,Low Quality / Dying,0.0485,Intermediate,97,0.4,0.12371134020618557,0.1889763779527559,4,0.5576923076923077,0.4,44.0,140.0,360.0,0.010309278350515464,0.12371134020618557,1,0.043478260869565216,1,0.043478260869565216
D17,GARQ,3,diagnostic_variant_rare_subsampling,0.02,Mast Cells,0.0035,Rare,7,0.0,0.0,0.0,0,,,115.0,189.0,201.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,3,diagnostic_variant_rare_subsampling,0.02,Myeloid Cells,0.046,Intermediate,92,0.5789473684210527,0.5978260869565217,0.5882352941176471,4,0.5543981481481481,0.5789473684210527,54.0,248.69999999999982,360.0,0.0,0.5978260869565217,2,0.13333333333333333,0,0.0
D17,GARQ,3,diagnostic_variant_rare_subsampling,0.02,Parietal Epithelial Cells,0.005,Rare,10,0.0,0.0,0.0,0,,,136.0,320.25,360.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,3,diagnostic_variant_rare_subsampling,0.02,Podocytes,0.0925,Intermediate,185,0.35502958579881655,0.32432432432432434,0.3389830508474576,4,0.44652503293807644,0.35502958579881655,30.0,176.9999999999999,360.0,0.0,0.32432432432432434,1,0.034482758620689655,1,0.034482758620689655
D17,GARQ,3,diagnostic_variant_rare_subsampling,0.02,Proximal Tubule,0.426,Common,852,0.7426400759734093,0.9178403755868545,0.820997375328084,13,0.7320802220802415,0.7426400759734093,43.0,188.99999999999983,360.0,0.002347417840375587,0.9178403755868545,10,0.4,9,0.36
D17,GARQ,3,diagnostic_variant_rare_subsampling,0.02,Stressed Tumor (p53+),0.0635,Intermediate,127,0.6,0.023622047244094488,0.045454545454545456,1,0.6,0.6,37.0,191.9999999999999,360.0,0.0,0.023622047244094488,1,0.041666666666666664,0,0.0
D17,GARQ,3,diagnostic_variant_rare_subsampling,0.02,T Cells,0.007,Rare,14,0.0,0.0,0.0,0,,,65.5,101.25,103.0,0.0,0.0,0,0.0,0,0.0
D17,GARQ,3,diagnostic_variant_rare_subsampling,0.02,Tumor (Neuronal-like),0.083,Intermediate,166,0.3783783783783784,0.08433734939759036,0.13793103448275862,2,0.381578947368421,0.3783783783783784,37.0,186.0,360.0,0.0,0.08433734939759036,0,0.0,0,0.0
D17,GARQ,3,diagnostic_variant_rare_subsampling,0.02,Tumor Epithelial,0.209,Common,418,0.6366612111292962,0.930622009569378,0.7560738581146743,12,0.6409638481571517,0.6366612111292962,22.5,98.25,103.0,0.0,0.930622009569378,8,0.4,7,0.35
