dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D18,GARQ,1,diagnostic_variant_rare_subsampling,0.02,B.Activated,0.001,Rare,2,0.0,0.0,0.0,0,,,166.0,310.9,327.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,1,diagnostic_variant_rare_subsampling,0.02,B.Naive,0.1645,Common,329,0.9909638554216867,1.0,0.9954614220877459,2,0.8969418960244648,0.9909638554216867,166.0,310.9,327.0,0.0,1.0,2,1.0,2,1.0
D18,GARQ,1,diagnostic_variant_rare_subsampling,0.02,DC.Myeloid,0.0015,Rare,3,0.0,0.0,0.0,0,,,92.0,92.9,93.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Mono.CD14,0.1395,Common,279,0.9522184300341296,1.0,0.9755244755244755,3,0.9506114220526768,0.9522184300341296,93.0,107.4,109.0,0.0,1.0,3,1.0,3,1.0
D18,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Mono.CD16,0.0045,Rare,9,0.0,0.0,0.0,0,,,100.0,108.1,109.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,1,diagnostic_variant_rare_subsampling,0.02,NK,0.0495,Intermediate,99,0.8372093023255814,0.7272727272727273,0.7783783783783784,5,0.837148337595908,0.8372093023255814,23.5,158.04999999999984,295.0,0.030303030303030304,0.7272727272727273,5,0.4166666666666667,4,0.3333333333333333
D18,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Platelets,0.0025,Rare,5,0.0,0.0,0.0,0,,,14.0,241.19999999999996,295.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,1,diagnostic_variant_rare_subsampling,0.02,T.CD4.Memory,0.2425,Common,485,0.5735607675906184,0.554639175257732,0.5639412997903563,9,0.6689335955616063,0.5735607675906184,26.0,217.5,327.0,0.0,0.554639175257732,8,0.25806451612903225,5,0.16129032258064516
D18,GARQ,1,diagnostic_variant_rare_subsampling,0.02,T.CD4.Naive,0.226,Common,452,0.5816793893129771,0.8429203539823009,0.6883468834688348,15,0.5897816760893578,0.5816793893129771,26.0,136.39999999999995,295.0,0.0,0.8429203539823009,12,0.48,3,0.12
D18,GARQ,1,diagnostic_variant_rare_subsampling,0.02,T.CD8.Effector,0.108,Common,216,0.6081081081081081,0.20833333333333334,0.3103448275862069,4,0.6155172413793103,0.6081081081081081,28.0,138.2,295.0,0.0,0.20833333333333334,3,0.13043478260869565,1,0.043478260869565216
D18,GARQ,1,diagnostic_variant_rare_subsampling,0.02,T.CD8.Naive,0.06,Intermediate,120,0.5054945054945055,0.38333333333333336,0.4360189573459716,2,0.5022058823529412,0.5054945054945055,31.0,155.49999999999966,295.0,0.0,0.38333333333333336,1,0.05263157894736842,0,0.0
D18,GARQ,1,diagnostic_variant_rare_subsampling,0.02,T.DoubleNegative,0.0005,Rare,1,0.0,0.0,0.0,0,,,295.0,295.0,295.0,0.0,0.0,0,0.0,0,0.0
