metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,20,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
1,211,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
2,152,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
3,33,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
4,188,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
5,65,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
6,28,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
7,153,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
8,51,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
9,5,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
10,11,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
11,2,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
12,11,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
13,20,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
14,6,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
15,9,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
16,1,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
17,2,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
18,17,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
19,6,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
20,68,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
21,78,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
22,5,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
23,236,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
24,7,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
25,36,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
26,182,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
27,23,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
28,1,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
29,91,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
31,63,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
32,5,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
33,2,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
34,13,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
35,6,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
36,41,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
37,12,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
38,122,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
39,18,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,39,2000
