metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,3,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,42,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,14,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,115,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,7,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,12,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,17,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,3,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,25,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,23,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,12,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,21,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,6,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,40,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,4,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,2,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,11,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,3,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,55,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,1,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,496,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,12,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,16,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,194,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,122,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,2,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,9,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,1,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,21,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,84,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,17,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,48,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,29,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,78,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,86,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,5,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,10,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,302,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,48,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,4,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
