dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D18,GARQ,0,diagnostic_variant_rare_subsampling,0.02,B.Activated,0.0305,Intermediate,61,0.0,0.0,0.0,0,,,84.0,174.19999999999996,188.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,diagnostic_variant_rare_subsampling,0.02,B.Naive,0.1635,Common,327,0.8406169665809768,1.0,0.9134078212290503,4,0.7962101063829787,0.8406169665809768,84.0,174.19999999999996,188.0,0.0,1.0,4,1.0,3,0.75
D18,GARQ,0,diagnostic_variant_rare_subsampling,0.02,DC.Myeloid,0.002,Rare,4,0.0,0.0,0.0,0,,,211.0,211.0,211.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Mono.CD14,0.139,Common,278,0.9389830508474576,0.9964028776978417,0.9668411867364747,4,0.808890644198701,0.9389830508474576,27.0,179.59999999999997,211.0,0.0,0.9964028776978417,4,0.8,2,0.4
D18,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Mono.CD16,0.002,Rare,4,0.0,0.0,0.0,0,,,40.5,52.65,54.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK,0.0585,Intermediate,117,0.753968253968254,0.811965811965812,0.7818930041152263,6,0.6957070707070708,0.753968253968254,27.0,214.89999999999998,224.0,0.3418803418803419,0.811965811965812,4,0.26666666666666666,3,0.2
D18,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelets,0.0015,Rare,3,0.0,0.0,0.0,0,,,27.0,67.5,72.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,diagnostic_variant_rare_subsampling,0.02,T.CD4.Memory,0.234,Common,468,0.49606299212598426,0.8076923076923077,0.6146341463414634,12,0.4837025653552864,0.49606299212598426,26.0,179.99999999999994,224.0,0.0,0.8076923076923077,4,0.16,0,0.0
D18,GARQ,0,diagnostic_variant_rare_subsampling,0.02,T.CD4.Naive,0.196,Common,392,0.5736434108527132,0.5663265306122449,0.569961489088575,7,0.6261151891586675,0.5736434108527132,26.0,184.0,224.0,0.002551020408163265,0.5663265306122449,5,0.23809523809523808,1,0.047619047619047616
D18,GARQ,0,diagnostic_variant_rare_subsampling,0.02,T.CD8.Effector,0.11,Common,220,0.8292682926829268,0.15454545454545454,0.26053639846743293,7,0.822387136672851,0.8292682926829268,17.5,180.99999999999994,224.0,0.031818181818181815,0.15454545454545454,7,0.2916666666666667,5,0.20833333333333334
D18,GARQ,0,diagnostic_variant_rare_subsampling,0.02,T.CD8.Naive,0.0615,Intermediate,123,0.0,0.0,0.0,0,,,43.0,195.99999999999994,224.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,0,diagnostic_variant_rare_subsampling,0.02,T.DoubleNegative,0.0015,Rare,3,0.0,0.0,0.0,0,,,70.0,107.8,112.0,0.0,0.0,0,0.0,0,0.0
