metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,5,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,28,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,14,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,75,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,20,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,69,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,4,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,5,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,6,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,59,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,196,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,116,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,11,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,138,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,46,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,6,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,24,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,90,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,14,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,129,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,1,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,53,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,86,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,5,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,85,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,17,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,47,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,10,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,7,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,46,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,116,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,88,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,52,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,2,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,53,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,161,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,57,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,31,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,23,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,5,D18,GARQ,3,diagnostic_variant_rare_subsampling,0.02,40,40,2000
