dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D18,GARQ,4,diagnostic_variant_rare_subsampling,0.02,B.Activated,0.035,Intermediate,70,0.5,0.014285714285714285,0.02777777777777778,1,0.5,0.5,178.0,205.0,208.0,0.0,0.014285714285714285,0,0.0,0,0.0
D18,GARQ,4,diagnostic_variant_rare_subsampling,0.02,B.Naive,0.1585,Common,317,0.8212435233160622,1.0,0.9018492176386913,2,0.8227906222990493,0.8212435233160622,193.0,206.5,208.0,0.0,1.0,2,1.0,2,1.0
D18,GARQ,4,diagnostic_variant_rare_subsampling,0.02,DC.Myeloid,0.002,Rare,4,0.0,0.0,0.0,0,,,285.0,285.0,285.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,4,diagnostic_variant_rare_subsampling,0.02,Mono.CD14,0.13,Common,260,0.9122807017543859,1.0,0.9541284403669724,1,0.9122807017543859,0.9122807017543859,285.0,285.0,285.0,0.0,1.0,1,1.0,1,1.0
D18,GARQ,4,diagnostic_variant_rare_subsampling,0.02,Mono.CD16,0.0075,Rare,15,0.0,0.0,0.0,0,,,285.0,285.0,285.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,4,diagnostic_variant_rare_subsampling,0.02,NK,0.057,Intermediate,114,0.7686567164179104,0.9035087719298246,0.8306451612903226,3,0.764241452991453,0.7686567164179104,25.0,215.39999999999992,285.0,0.0,0.9035087719298246,3,0.3333333333333333,2,0.2222222222222222
D18,GARQ,4,diagnostic_variant_rare_subsampling,0.02,Platelets,0.002,Rare,4,0.0,0.0,0.0,0,,,9.0,100.79999999999998,111.0,0.0,0.0,0,0.0,0,0.0
D18,GARQ,4,diagnostic_variant_rare_subsampling,0.02,T.CD4.Memory,0.232,Common,464,0.5770609318996416,0.6939655172413793,0.6301369863013699,14,0.5853472838766957,0.5770609318996416,13.0,230.19999999999987,285.0,0.034482758620689655,0.6939655172413793,9,0.3103448275862069,3,0.10344827586206896
D18,GARQ,4,diagnostic_variant_rare_subsampling,0.02,T.CD4.Naive,0.211,Common,422,0.5972762645914397,0.7274881516587678,0.655982905982906,8,0.6184942852041297,0.5972762645914397,13.5,196.10000000000005,255.0,0.0,0.7274881516587678,7,0.35,2,0.1
D18,GARQ,4,diagnostic_variant_rare_subsampling,0.02,T.CD8.Effector,0.0995,Intermediate,199,0.6699029126213593,0.34673366834170855,0.45695364238410596,7,0.6346485260770975,0.6699029126213593,11.0,226.1999999999996,285.0,0.03015075376884422,0.34673366834170855,6,0.24,2,0.08
D18,GARQ,4,diagnostic_variant_rare_subsampling,0.02,T.CD8.Naive,0.065,Intermediate,130,0.5,0.06923076923076923,0.12162162162162163,1,0.5,0.5,18.0,199.19999999999987,255.0,0.0,0.06923076923076923,0,0.0,0,0.0
D18,GARQ,4,diagnostic_variant_rare_subsampling,0.02,T.DoubleNegative,0.0005,Rare,1,0.0,0.0,0.0,0,,,255.0,255.0,255.0,0.0,0.0,0,0.0,0,0.0
