metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,16,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
1,3,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
2,132,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
3,114,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
4,16,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
5,5,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
6,59,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
7,8,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
8,3,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
9,12,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
10,3,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
11,11,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
12,16,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
13,49,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
14,21,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
15,29,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
16,22,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
19,16,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
20,136,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
21,217,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
22,15,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
23,78,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
24,1,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
25,3,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
26,47,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
27,19,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
28,4,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
29,4,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
30,29,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
31,6,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
32,119,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
33,3,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
34,108,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
35,248,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
36,1,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
37,130,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
38,4,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
39,293,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
