dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,2,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.0055,Rare,11,0.0,0.0,0.0,0,,,220.0,225.4,226.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,2,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.087,Intermediate,174,0.3765281173594132,0.8850574712643678,0.5283018867924529,5,0.4146784480785458,0.3765281173594132,57.0,223.6,226.0,0.0,0.8850574712643678,1,0.1111111111111111,1,0.1111111111111111
D5,GARQ,2,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.0655,Intermediate,131,0.46987951807228917,0.29770992366412213,0.36448598130841126,4,0.6080827067669173,0.46987951807228917,23.0,167.59999999999997,220.0,0.007633587786259542,0.29770992366412213,1,0.1111111111111111,1,0.1111111111111111
D5,GARQ,2,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.019,Intermediate,38,0.5,0.02631578947368421,0.05,1,0.5,0.5,25.0,167.59999999999997,220.0,0.0,0.02631578947368421,0,0.0,0,0.0
D5,GARQ,2,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.0185,Intermediate,37,0.6666666666666666,0.05405405405405406,0.1,1,0.6666666666666666,0.6666666666666666,58.5,222.7,226.0,0.0,0.05405405405405406,1,0.08333333333333333,0,0.0
D5,GARQ,2,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.2125,Common,425,0.8771186440677966,0.9741176470588235,0.923076923076923,11,0.8123623571928419,0.8771186440677966,16.0,116.89999999999989,189.0,0.042352941176470586,0.9741176470588235,10,0.6666666666666666,8,0.5333333333333333
D5,GARQ,2,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.053,Intermediate,106,0.45714285714285713,0.3018867924528302,0.3636363636363636,2,0.7246376811594203,0.45714285714285713,48.0,203.79999999999995,226.0,0.009433962264150943,0.3018867924528302,1,0.07692307692307693,1,0.07692307692307693
D5,GARQ,2,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.0415,Intermediate,83,0.4,0.12048192771084337,0.18518518518518517,1,0.4,0.4,41.0,223.29999999999998,226.0,0.0,0.12048192771084337,0,0.0,0,0.0
D5,GARQ,2,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.042,Intermediate,84,0.0,0.0,0.0,0,,,65.0,193.79999999999998,220.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.101,Common,202,0.6060606060606061,0.8910891089108911,0.721442885771543,1,0.6060606060606061,0.6060606060606061,91.0,276.4,297.0,0.0,0.8910891089108911,1,0.3333333333333333,0,0.0
D5,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Erythroid ,0.004,Rare,8,1.0,0.875,0.9333333333333333,1,1.0,1.0,11.0,14.6,15.0,0.875,0.875,1,0.5,1,0.5
D5,GARQ,2,diagnostic_variant_rare_subsampling,0.02,MAIT-NKT cells,0.032,Intermediate,64,0.5,0.0625,0.1111111111111111,1,0.5,0.5,61.0,223.9,226.0,0.0,0.0625,0,0.0,0,0.0
D5,GARQ,2,diagnostic_variant_rare_subsampling,0.02,Memory B,0.022,Intermediate,44,0.5,0.022727272727272728,0.04347826086956522,1,0.5,0.5,15.5,161.34999999999994,187.0,0.0,0.022727272727272728,0,0.0,0,0.0
D5,GARQ,2,diagnostic_variant_rare_subsampling,0.02,NK-T doublets,0.018,Intermediate,36,0.0,0.0,0.0,0,,,65.0,183.0999999999999,226.0,0.0,0.0,0,0.0,0,0.0
