metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
1,310,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
2,6,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
3,7,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
4,153,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
5,6,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
6,13,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
7,3,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
8,2,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
9,11,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
10,3,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
11,4,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
12,64,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
13,5,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
14,25,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
15,222,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
16,1,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
17,425,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
18,19,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
19,2,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
20,14,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
21,3,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
22,126,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
24,31,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
25,18,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
26,24,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
27,144,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
28,23,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
30,24,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
31,5,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
32,218,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
33,31,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
34,1,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
35,6,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
36,23,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
37,8,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
38,11,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
39,9,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,37,2000
