metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,37,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
2,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
3,58,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
4,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
5,20,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
6,15,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
7,115,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
8,119,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
9,134,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
10,160,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
11,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
12,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
13,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
14,254,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
15,15,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
16,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
17,70,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
18,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
19,113,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
20,58,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
21,29,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
22,111,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
23,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
24,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
25,19,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
26,13,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
27,294,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
28,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
29,10,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
30,232,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
31,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
32,26,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
33,17,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
34,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
35,10,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
36,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
37,21,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
38,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
39,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
