dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.0075,Rare,15,0.0,0.0,0.0,0,,,74.5,158.34999999999997,179.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.078,Intermediate,156,0.5263157894736842,0.32051282051282054,0.398406374501992,5,0.3964879227053141,0.5263157894736842,19.0,140.64999999999998,179.0,0.0,0.32051282051282054,2,0.14285714285714285,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.065,Intermediate,130,0.4807692307692308,0.5769230769230769,0.5244755244755245,5,0.44465367965367963,0.4807692307692308,15.0,149.5,179.0,0.0,0.5769230769230769,1,0.09090909090909091,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.023,Intermediate,46,0.0,0.0,0.0,0,,,19.0,158.34999999999997,179.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.0175,Intermediate,35,0.0,0.0,0.0,0,,,85.0,136.39999999999998,140.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.2145,Common,429,0.7491103202846975,0.9813519813519813,0.8496468213925328,10,0.7647527030135726,0.7491103202846975,43.5,133.39999999999998,140.0,0.016317016317016316,0.9813519813519813,9,0.75,5,0.4166666666666667
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.0545,Intermediate,109,0.6756756756756757,0.45871559633027525,0.5464480874316939,1,0.6756756756756757,0.6756756756756757,77.0,125.59999999999997,140.0,0.0,0.45871559633027525,1,0.1,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.043,Intermediate,86,0.3469387755102041,0.3953488372093023,0.3695652173913043,2,0.36289592760181,0.3469387755102041,74.0,155.59999999999994,179.0,0.0,0.3953488372093023,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.0455,Intermediate,91,0.31666666666666665,0.6263736263736264,0.4206642066420664,2,0.6564245810055866,0.31666666666666665,15.0,149.5,179.0,0.01098901098901099,0.6263736263736264,1,0.09090909090909091,1,0.09090909090909091
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.1045,Common,209,0.49056603773584906,0.9952153110047847,0.6571879936808847,2,0.495260663507109,0.49056603773584906,7.0,380.49999999999994,422.0,0.0,0.9952153110047847,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Erythroid ,0.0025,Rare,5,0.4444444444444444,0.8,0.5714285714285714,1,0.4444444444444444,0.4444444444444444,7.0,8.8,9.0,0.0,0.8,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,MAIT-NKT cells,0.0485,Intermediate,97,0.5308641975308642,0.8865979381443299,0.664092664092664,3,0.6764955709258585,0.5308641975308642,44.0,97.64999999999998,108.0,0.13402061855670103,0.8865979381443299,2,0.2,2,0.2
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Memory B,0.014,Intermediate,28,0.0,0.0,0.0,0,,,75.0,371.2999999999999,422.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,NK-T doublets,0.0175,Intermediate,35,0.6666666666666666,0.4,0.5,1,0.6666666666666666,0.6666666666666666,80.0,103.39999999999999,108.0,0.0,0.4,1,0.2,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,NK-monocyte doublets,0.017,Intermediate,34,0.6521739130434783,0.4411764705882353,0.5263157894736842,2,0.6230769230769231,0.6521739130434783,13.0,381.09999999999997,422.0,0.0,0.4411764705882353,1,0.3333333333333333,1,0.3333333333333333
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Naive B,0.059,Intermediate,118,0.6243386243386243,1.0,0.7687296416938111,4,0.5927128427128427,0.6243386243386243,51.0,81.3,84.0,0.0,1.0,2,0.5,2,0.5
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Neutrophils,0.031,Intermediate,62,0.0,0.0,0.0,0,,,9.0,339.5999999999999,422.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Non classical monocytes,0.037,Intermediate,74,0.8571428571428571,0.08108108108108109,0.14814814814814817,1,0.8571428571428571,0.8571428571428571,10.0,380.79999999999995,422.0,0.0,0.08108108108108109,1,0.3333333333333333,1,0.3333333333333333
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Plasma cells,0.003,Rare,6,0.0,0.0,0.0,0,,,60.0,81.6,84.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Platelet-T cell doublets,0.003,Rare,6,0.0,0.0,0.0,0,,,23.0,76.1,82.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Platelet-bound monocytes,0.017,Intermediate,34,0.0,0.0,0.0,0,,,422.0,422.0,422.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Platelets,0.004,Rare,8,0.0,0.0,0.0,0,,,215.5,401.34999999999997,422.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Proliferating T and NK cell,0.006,Rare,12,0.0,0.0,0.0,0,,,9.0,127.99999999999999,140.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Regulatory T cells,0.006,Rare,12,0.0,0.0,0.0,0,,,23.0,155.39999999999998,179.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,T-NK-B cell doublets,0.024,Intermediate,48,0.0,0.0,0.0,0,,,66.0,333.7999999999998,422.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,conventional DC,0.005,Rare,10,0.0,0.0,0.0,0,,,422.0,422.0,422.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,gdT cells,0.046,Intermediate,92,0.0,0.0,0.0,0,,,80.0,127.19999999999999,140.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,plasmacytoid DC,0.0065,Rare,13,0.0,0.0,0.0,0,,,253.0,405.09999999999997,422.0,0.0,0.0,0,0.0,0,0.0
