dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.0085,Rare,17,0.0,0.0,0.0,0,,,117.0,318.19999999999993,341.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.0885,Intermediate,177,0.4209039548022599,0.8418079096045198,0.5612052730696799,4,0.5776392961876833,0.4209039548022599,16.5,272.59999999999985,341.0,0.03389830508474576,0.8418079096045198,1,0.1,1,0.1
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.0815,Intermediate,163,0.5641025641025641,0.8098159509202454,0.6649874055415617,2,0.5354497354497354,0.5641025641025641,45.0,310.59999999999997,341.0,0.0,0.8098159509202454,1,0.2,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,189.0,325.8,341.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.0215,Intermediate,43,0.42857142857142855,0.06976744186046512,0.12,2,0.45,0.42857142857142855,20.0,300.69999999999976,400.0,0.0,0.06976744186046512,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.2095,Common,419,0.775092936802974,0.9952267303102625,0.8714733542319749,5,0.7048236714975846,0.775092936802974,20.0,300.69999999999976,400.0,0.0,0.9952267303102625,3,0.42857142857142855,3,0.42857142857142855
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.06,Intermediate,120,0.6021505376344086,0.4666666666666667,0.5258215962441315,6,0.555905695611578,0.6021505376344086,14.0,364.5999999999999,400.0,0.0,0.4666666666666667,2,0.15384615384615385,1,0.07692307692307693
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.044,Intermediate,88,0.3939393939393939,0.14772727272727273,0.21487603305785125,2,0.5166666666666666,0.3939393939393939,19.0,234.59999999999985,341.0,0.0,0.14772727272727273,1,0.06666666666666667,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.0425,Intermediate,85,0.75,0.3176470588235294,0.44628099173553715,3,0.7360066833751043,0.75,19.0,295.39999999999986,341.0,0.0,0.3176470588235294,3,0.42857142857142855,1,0.14285714285714285
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.1045,Common,209,0.4940898345153664,1.0,0.6613924050632911,1,0.4940898345153664,0.4940898345153664,423.0,423.0,423.0,0.0,1.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Erythroid ,0.0065,Rare,13,0.9285714285714286,1.0,0.962962962962963,2,0.8333333333333333,0.9285714285714286,7.0,10.6,11.0,0.8461538461538461,1.0,2,1.0,1,0.5
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,MAIT-NKT cells,0.0405,Intermediate,81,0.0,0.0,0.0,0,,,17.5,367.54999999999995,400.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Memory B,0.026,Intermediate,52,0.0,0.0,0.0,0,,,100.5,177.45,186.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,NK-T doublets,0.02,Intermediate,40,0.6666666666666666,0.05,0.09302325581395349,1,0.6666666666666666,0.6666666666666666,30.0,382.29999999999995,400.0,0.0,0.05,1,0.14285714285714285,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,NK-monocyte doublets,0.02,Intermediate,40,0.7692307692307693,0.25,0.37735849056603776,1,0.7692307692307693,0.7692307692307693,14.0,382.09999999999997,423.0,0.0,0.25,1,0.3333333333333333,1,0.3333333333333333
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Naive B,0.057,Intermediate,114,0.6129032258064516,1.0,0.76,1,0.6129032258064516,0.6129032258064516,186.0,186.0,186.0,0.0,1.0,1,1.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Neutrophils,0.025,Intermediate,50,0.0,0.0,0.0,0,,,14.0,382.09999999999997,423.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Non classical monocytes,0.0505,Intermediate,101,0.8974358974358975,0.3465346534653465,0.5,3,0.7619047619047619,0.8974358974358975,23.0,418.4,423.0,0.22772277227722773,0.3465346534653465,2,0.4,2,0.4
D5,GARQ,1,diagnostic_variant_rare_subsampling,0.02,Plasma cells,0.0025,Rare,5,1.0,0.2,0.33333333333333337,1,1.0,1.0,15.0,168.89999999999998,186.0,0.2,0.2,1,0.3333333333333333,1,0.3333333333333333
