metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,32,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
2,6,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
3,3,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
4,6,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
5,5,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
6,375,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
7,135,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
8,5,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
9,3,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
10,25,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
11,249,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
12,290,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
13,10,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
14,4,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
15,2,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
16,22,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
17,15,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
18,4,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
19,17,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
20,3,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
21,3,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
22,9,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
23,153,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
24,45,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
25,53,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
26,31,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
27,13,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
28,178,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
29,3,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
31,16,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
32,90,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
33,4,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
34,11,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
35,113,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
36,29,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
37,13,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
38,24,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
39,1,D5,GARQ,4,diagnostic_variant_rare_subsampling,0.02,40,38,2000
