dataset,method,seed,subset_seed,target_cell_type,source_abundance,target_abundance,realized_abundance,support,requested_K,realized_K,cell_precision,cell_recall,cell_f1,purity_unweighted,purity_weighted,majority_retention,high_purity_recovery,run_id
D11,GARQ,0,438642,CD14+ Mono,0.04637505062778453,0.001,0.001,2,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.001_confirmatory_smoke_seed0_v1-b289403ae5e4
D11,GARQ,1,115631,CD14+ Mono,0.04637505062778453,0.001,0.001,2,40,38,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.001_confirmatory_smoke_seed1_v1-f358db88d218
D11,GARQ,2,358530,CD14+ Mono,0.04637505062778453,0.001,0.001,2,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.001_confirmatory_smoke_seed2_v1-de407a6b3b43
D11,GARQ,3,529322,CD14+ Mono,0.04637505062778453,0.001,0.001,2,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.001_confirmatory_smoke_seed3_v1-ca5c4748a6f0
D11,GARQ,4,747074,CD14+ Mono,0.04637505062778453,0.001,0.001,2,40,39,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.001_confirmatory_smoke_seed4_v1-f4dad55ffa23
D11,GARQ,0,765069,CD14+ Mono,0.04637505062778453,0.002,0.002,4,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.002_confirmatory_smoke_seed0_v1-f03c0f513578
D11,GARQ,1,347343,CD14+ Mono,0.04637505062778453,0.002,0.002,4,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.002_confirmatory_smoke_seed1_v1-81c9ea356f06
D11,GARQ,2,851144,CD14+ Mono,0.04637505062778453,0.002,0.002,4,40,39,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.002_confirmatory_smoke_seed2_v1-23b8b9dd80ba
D11,GARQ,3,785211,CD14+ Mono,0.04637505062778453,0.002,0.002,4,40,38,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.002_confirmatory_smoke_seed3_v1-0304b7ac96c6
D11,GARQ,4,156674,CD14+ Mono,0.04637505062778453,0.002,0.002,4,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.002_confirmatory_smoke_seed4_v1-0a753cbf687d
D11,GARQ,0,771014,CD14+ Mono,0.04637505062778453,0.005,0.005,10,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.005_confirmatory_smoke_seed0_v1-40fafadae85b
D11,GARQ,1,520690,CD14+ Mono,0.04637505062778453,0.005,0.005,10,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.005_confirmatory_smoke_seed1_v1-eeaf6f8756cb
D11,GARQ,2,171967,CD14+ Mono,0.04637505062778453,0.005,0.005,10,40,38,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.005_confirmatory_smoke_seed2_v1-8eeba04198bd
D11,GARQ,3,875308,CD14+ Mono,0.04637505062778453,0.005,0.005,10,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.005_confirmatory_smoke_seed3_v1-5b2ad4b59088
D11,GARQ,4,238100,CD14+ Mono,0.04637505062778453,0.005,0.005,10,40,39,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.005_confirmatory_smoke_seed4_v1-a3011d6a8b39
D11,GARQ,0,827892,CD14+ Mono,0.04637505062778453,0.01,0.01,20,40,38,0.3333333333333333,0.05,0.0869565217391304,0.3333333333333333,0.3333333333333333,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.01_confirmatory_smoke_seed0_v1-4359ada180e8
D11,GARQ,1,209161,CD14+ Mono,0.04637505062778453,0.01,0.01,20,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.01_confirmatory_smoke_seed1_v1-cdc8d7e5a7a5
D11,GARQ,2,593857,CD14+ Mono,0.04637505062778453,0.01,0.01,20,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.01_confirmatory_smoke_seed2_v1-68b8ec4d43e9
D11,GARQ,3,798967,CD14+ Mono,0.04637505062778453,0.01,0.01,20,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.01_confirmatory_smoke_seed3_v1-81fd39309310
D11,GARQ,4,399842,CD14+ Mono,0.04637505062778453,0.01,0.01,20,40,40,0.3333333333333333,0.9,0.4864864864864864,0.3333333333333333,0.3333333333333333,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.01_confirmatory_smoke_seed4_v1-c871499b3eea
D11,GARQ,0,165357,CD14+ Mono,0.04637505062778453,0.02,0.02,40,40,40,0.4666666666666667,0.875,0.608695652173913,0.4666666666666667,0.4666666666666667,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.02_confirmatory_smoke_seed0_v1-b6c252fd11c2
D11,GARQ,1,538086,CD14+ Mono,0.04637505062778453,0.02,0.02,40,40,40,0.5555555555555556,0.25,0.3448275862068966,0.5416666666666667,0.5555555555555556,0.1111111111111111,0.0,E1_D11_rare_CD14+-Mono_abundance_0.02_confirmatory_smoke_seed1_v1-508fa5cef801
D11,GARQ,2,197632,CD14+ Mono,0.04637505062778453,0.02,0.02,40,40,38,0.2846153846153846,0.925,0.4352941176470588,0.423728813559322,0.2846153846153846,0.2,0.0,E1_D11_rare_CD14+-Mono_abundance_0.02_confirmatory_smoke_seed2_v1-e171e431fabe
D11,GARQ,3,62747,CD14+ Mono,0.04637505062778453,0.02,0.02,40,40,39,0.3679245283018867,0.975,0.5342465753424658,0.3679245283018867,0.3679245283018867,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.02_confirmatory_smoke_seed3_v1-4ce0a749ad16
D11,GARQ,4,338459,CD14+ Mono,0.04637505062778453,0.02,0.02,40,40,39,0.1937984496124031,0.625,0.2958579881656805,0.1967741935483871,0.1937984496124031,0.0,0.0,E1_D11_rare_CD14+-Mono_abundance_0.02_confirmatory_smoke_seed4_v1-51dfd3eeaf9d
D11,GARQ,0,785963,NK,0.042628594572701496,0.001,0.001,2,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_NK_abundance_0.001_confirmatory_smoke_seed0_v1-ea23a6296fc1
D11,GARQ,1,525153,NK,0.042628594572701496,0.001,0.001,2,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_NK_abundance_0.001_confirmatory_smoke_seed1_v1-dcd731f972b4
D11,GARQ,2,181207,NK,0.042628594572701496,0.001,0.001,2,40,38,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_NK_abundance_0.001_confirmatory_smoke_seed2_v1-f224c4b3de4f
D11,GARQ,3,205045,NK,0.042628594572701496,0.001,0.001,2,40,39,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_NK_abundance_0.001_confirmatory_smoke_seed3_v1-579c9f3ea1e3
D11,GARQ,4,402218,NK,0.042628594572701496,0.001,0.001,2,40,39,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_NK_abundance_0.001_confirmatory_smoke_seed4_v1-997dbac83734
D11,GARQ,0,286579,NK,0.042628594572701496,0.002,0.002,4,40,39,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_NK_abundance_0.002_confirmatory_smoke_seed0_v1-0057e0f1143a
D11,GARQ,1,355611,NK,0.042628594572701496,0.002,0.002,4,40,39,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_NK_abundance_0.002_confirmatory_smoke_seed1_v1-b883ca6af3ad
D11,GARQ,2,723693,NK,0.042628594572701496,0.002,0.002,4,40,39,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_NK_abundance_0.002_confirmatory_smoke_seed2_v1-84c9b7374cfd
D11,GARQ,3,689859,NK,0.042628594572701496,0.002,0.002,4,40,40,0.0,0.0,0.0,,,0.0,0.0,E1_D11_rare_NK_abundance_0.002_confirmatory_smoke_seed3_v1-4bf8c332f4f6
