dataset,method,target_cell_type,target_abundance,n_seeds,support,realized_abundance_mean,realized_abundance_sd,realized_K_mean,realized_K_sd,cell_precision_mean,cell_precision_sd,cell_recall_mean,cell_recall_sd,cell_f1_mean,cell_f1_sd,purity_unweighted_mean,purity_unweighted_sd,purity_weighted_mean,purity_weighted_sd,majority_retention_mean,majority_retention_sd,high_purity_recovery_mean,high_purity_recovery_sd,nonzero_f1_runs,majority_retention_runs,high_purity_recovery_runs
D11,GARQ,CD14+ Mono,0.001,5,2,0.001,0.0,39.4,0.8944271909999153,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D11,GARQ,CD14+ Mono,0.002,5,4,0.002,0.0,39.4,0.8944271909999153,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D11,GARQ,CD14+ Mono,0.005,5,10,0.005,0.0,39.4,0.8944271909999163,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D11,GARQ,CD14+ Mono,0.01,5,20,0.01,0.0,39.6,0.8944271909999153,0.13333333333333333,0.18257418583505536,0.19,0.39749213828703583,0.11468860164512336,0.2112245022898416,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,2,0,0
D11,GARQ,CD14+ Mono,0.02,5,40,0.02,0.0,39.2,0.8366600265340765,0.3737121169503793,0.14322031635460283,0.73,0.30020826104556153,0.443784383907203,0.12954331849805104,0.39935217374858584,0.12981179778830462,0.3737121169503793,0.14322031635460283,0.06222222222222222,0.09081251885201133,0.0,0.0,5,2,0
D11,GARQ,NK,0.001,5,2,0.001,0.0,39.2,0.8366600265340765,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D11,GARQ,NK,0.002,5,4,0.002,0.0,39.4,0.5477225575051664,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D11,GARQ,NK,0.005,5,10,0.005,0.0,39.8,0.44721359549995865,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D11,GARQ,NK,0.01,5,20,0.01,0.0,39.6,0.8944271909999163,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D11,GARQ,NK,0.02,5,40,0.02,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D11,GARQ,Plasma cell,0.001,5,2,0.001,0.0,39.2,1.0954451150103328,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D11,GARQ,Plasma cell,0.002,5,4,0.002,0.0,39.4,0.547722557505166,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D11,GARQ,cDC2,0.001,5,2,0.001,0.0,39.6,0.8944271909999153,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D11,GARQ,cDC2,0.002,5,4,0.002,0.0,39.4,0.547722557505166,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D11,GARQ,cDC2,0.005,5,10,0.005,0.0,39.6,0.547722557505166,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0,0,0
D11,GARQ,cDC2,0.01,5,20,0.01,0.0,40.0,0.0,0.38198198198198197,0.3744086049025138,0.16,0.1781852968120546,0.15991979949874685,0.1212089859240208,0.4774774774774775,0.3551241193824974,0.4774774774774775,0.3551241193824974,0.04,0.0894427190999916,0.04,0.0894427190999916,4,1,1
