metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,63,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,51,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,32,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,342,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,24,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,12,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,30,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,9,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,38,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,170,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,9,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,217,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,7,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,15,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,38,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,53,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,195,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,2,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,45,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,14,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,33,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,466,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,2,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,2,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,11,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,11,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,14,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,30,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,1,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,9,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,11,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,1,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
