dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,B1 B,0.01,Intermediate,20,0.0,0.0,0.0,0,,,41.5,401.7999999999995,607.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD14+ Mono,0.0435,Intermediate,87,0.5298013245033113,0.9195402298850575,0.6722689075630253,1,0.5298013245033113,0.5298013245033113,16.0,470.1999999999997,607.0,0.0,0.9195402298850575,1,0.14285714285714285,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD16+ Mono,0.0135,Intermediate,27,0.5,0.07407407407407407,0.12903225806451613,1,0.5,0.5,38.0,139.7,151.0,0.0,0.07407407407407407,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T activated,0.0745,Intermediate,149,0.23076923076923078,0.020134228187919462,0.03703703703703703,2,0.225,0.23076923076923078,21.0,354.54999999999956,607.0,0.0,0.020134228187919462,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T naive,0.031,Intermediate,62,0.0,0.0,0.0,0,,,36.0,458.5,607.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8+ T,0.429,Common,858,0.7133163698049194,0.9801864801864801,0.8257241040746195,17,0.6538668970437449,0.7133163698049194,11.0,270.25,607.0,0.0034965034965034965,0.9801864801864801,14,0.5384615384615384,6,0.23076923076923078
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroblast,0.0235,Intermediate,47,0.425531914893617,0.851063829787234,0.5673758865248226,1,0.425531914893617,0.425531914893617,121.5,146.25,149.0,0.0,0.851063829787234,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,G/M prog,0.006,Rare,12,0.0,0.0,0.0,0,,,150.0,150.9,151.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,HSC,0.0115,Intermediate,23,0.4375,0.30434782608695654,0.358974358974359,1,0.4375,0.4375,16.0,150.4,151.0,0.0,0.30434782608695654,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Lymph prog,0.033,Intermediate,66,0.5454545454545454,0.09090909090909091,0.15584415584415584,2,0.55,0.5454545454545454,11.0,149.4,151.0,0.0,0.09090909090909091,1,0.058823529411764705,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MK/E prog,0.015,Intermediate,30,0.0,0.0,0.0,0,,,147.5,150.7,151.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK,0.0425,Intermediate,85,0.0,0.0,0.0,0,,,20.0,428.7999999999996,607.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive CD20+ B,0.0865,Intermediate,173,0.41729323308270677,0.6416184971098265,0.5056947608200456,8,0.44868058438263914,0.41729323308270677,20.0,146.0,607.0,0.0,0.6416184971098265,2,0.09523809523809523,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Normoblast,0.0085,Rare,17,0.0,0.0,0.0,0,,,147.5,538.2999999999998,607.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cell,0.0045,Rare,9,0.0,0.0,0.0,0,,,56.0,468.6999999999997,607.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Proerythroblast,0.082,Intermediate,164,0.5637583892617449,0.5121951219512195,0.536741214057508,1,0.5637583892617449,0.5637583892617449,65.0,446.69999999999976,607.0,0.0,0.5121951219512195,1,0.125,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Transitional B,0.069,Intermediate,138,0.4358974358974359,0.3695652173913043,0.39999999999999997,6,0.44557178932178937,0.4358974358974359,13.5,171.90000000000032,607.0,0.0,0.3695652173913043,2,0.1,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,cDC2,0.0145,Intermediate,29,0.0,0.0,0.0,0,,,20.0,149.5,151.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,pDC,0.002,Rare,4,0.0,0.0,0.0,0,,,83.5,144.25,151.0,0.0,0.0,0,0.0,0,0.0
