dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,B1 B,0.039,Intermediate,78,0.2,0.01282051282051282,0.024096385542168672,1,0.2,0.2,19.0,190.9999999999998,272.0,0.0,0.01282051282051282,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD14+ Mono,0.005,Rare,10,0.3333333333333333,0.1,0.15384615384615383,1,0.3333333333333333,0.3333333333333333,14.0,58.39999999999999,69.0,0.0,0.1,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD16+ Mono,0.0125,Intermediate,25,0.2,0.04,0.06666666666666667,1,0.2,0.2,15.0,53.24999999999997,69.0,0.0,0.04,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T activated,0.0805,Intermediate,161,0.3888888888888889,0.043478260869565216,0.07821229050279328,2,0.4375,0.3888888888888889,17.5,210.09999999999994,381.0,0.0,0.043478260869565216,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T naive,0.0335,Intermediate,67,0.0,0.0,0.0,0,,,24.0,247.39999999999986,381.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8+ T,0.4305,Common,861,0.7357512953367875,0.9895470383275261,0.8439821693907875,21,0.6276525241755887,0.7357512953367875,16.0,187.7,381.0,0.0,0.9895470383275261,17,0.6296296296296297,5,0.18518518518518517
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroblast,0.0295,Intermediate,59,0.0,0.0,0.0,0,,,214.0,214.0,214.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,G/M prog,0.005,Rare,10,0.0,0.0,0.0,0,,,10.0,60.74999999999998,69.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,HSC,0.0095,Rare,19,0.0,0.0,0.0,0,,,18.0,59.19999999999999,69.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Lymph prog,0.034,Intermediate,68,0.3333333333333333,0.29411764705882354,0.3125,2,0.3333333333333333,0.3333333333333333,21.0,190.9999999999998,272.0,0.0,0.29411764705882354,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MK/E prog,0.0105,Intermediate,21,0.2318840579710145,0.7619047619047619,0.35555555555555557,1,0.2318840579710145,0.2318840579710145,22.0,184.99999999999997,214.0,0.0,0.7619047619047619,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK,0.045,Intermediate,90,0.0,0.0,0.0,0,,,17.5,216.94999999999973,381.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive CD20+ B,0.0845,Intermediate,169,0.5625,0.3727810650887574,0.4483985765124555,2,0.616304347826087,0.5625,35.5,227.0,272.0,0.0,0.3727810650887574,2,0.3333333333333333,1,0.16666666666666666
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Normoblast,0.007,Rare,14,0.0,0.0,0.0,0,,,214.0,214.0,214.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cell,0.002,Rare,4,0.0,0.0,0.0,0,,,92.0,254.0,272.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Proerythroblast,0.0815,Intermediate,163,0.6611570247933884,0.9815950920245399,0.7901234567901235,3,0.6694987255734919,0.6611570247933884,18.0,175.59999999999997,214.0,0.0,0.9815950920245399,2,0.4,1,0.2
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Transitional B,0.0705,Intermediate,141,0.44485294117647056,0.8581560283687943,0.585956416464891,1,0.44485294117647056,0.44485294117647056,18.0,217.9999999999999,272.0,0.0,0.8581560283687943,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,cDC2,0.018,Intermediate,36,0.39285714285714285,0.6111111111111112,0.4782608695652174,4,0.39280164280164287,0.39285714285714285,15.0,180.64999999999978,272.0,0.0,0.6111111111111112,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,pDC,0.002,Rare,4,0.0,0.0,0.0,0,,,51.0,67.2,69.0,0.0,0.0,0,0.0,0,0.0
