metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,135,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,96,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,49,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,16,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,11,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,10,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,2,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,9,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,1,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,81,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,86,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,16,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,12,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,8,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,40,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,11,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,20,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,59,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,21,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,9,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,71,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,32,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,11,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,167,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,14,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,2,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,1,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,49,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,24,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,175,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,63,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,654,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
