metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,8,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,25,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,17,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,1,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,10,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,22,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,16,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,24,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,18,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,15,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,63,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,124,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,117,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,18,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,125,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,141,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,65,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,7,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,18,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,14,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,155,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,10,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,7,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,21,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,539,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,149,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,18,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,28,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,82,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,95,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,7,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
