dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,B1 B,0.034,Intermediate,68,0.35294117647058826,0.08823529411764706,0.1411764705882353,2,0.34285714285714286,0.35294117647058826,56.0,221.79999999999995,238.0,0.0,0.08823529411764706,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD14+ Mono,0.0515,Intermediate,103,0.7567567567567568,0.8155339805825242,0.7850467289719626,2,0.8288854003139718,0.7567567567567568,13.0,95.39999999999999,98.0,0.0,0.8155339805825242,2,0.4,2,0.4
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD16+ Mono,0.008,Rare,16,0.0,0.0,0.0,0,,,49.0,96.05,98.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T activated,0.0715,Intermediate,143,0.5384615384615384,0.04895104895104895,0.08974358974358974,3,0.6571428571428571,0.5384615384615384,24.5,209.34999999999997,238.0,0.006993006993006993,0.04895104895104895,2,0.08333333333333333,1,0.041666666666666664
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T naive,0.01,Intermediate,20,0.0,0.0,0.0,0,,,70.0,193.2,211.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8+ T,0.4215,Common,843,0.763901549680948,0.9940688018979834,0.8639175257731958,23,0.7113789016679327,0.763901549680948,14.0,193.19999999999976,238.0,0.0,0.9940688018979834,20,0.8,14,0.56
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroblast,0.0275,Intermediate,55,0.0,0.0,0.0,0,,,10.0,195.39999999999998,216.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,G/M prog,0.0095,Rare,19,0.5,0.05263157894736842,0.09523809523809525,1,0.5,0.5,31.5,80.64999999999999,85.0,0.0,0.05263157894736842,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,HSC,0.0095,Rare,19,0.21176470588235294,0.9473684210526315,0.3461538461538461,1,0.21176470588235294,0.21176470588235294,70.5,83.55,85.0,0.0,0.9473684210526315,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Lymph prog,0.0295,Intermediate,59,0.5,0.5254237288135594,0.5123966942148761,2,0.42559523809523814,0.5000000000000001,85.0,161.19999999999996,200.0,0.0,0.5254237288135594,1,0.1111111111111111,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MK/E prog,0.0135,Intermediate,27,0.0,0.0,0.0,0,,,85.0,202.89999999999998,216.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK,0.0455,Intermediate,91,0.0,0.0,0.0,0,,,25.0,216.39999999999998,238.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive CD20+ B,0.095,Intermediate,190,0.5880398671096345,0.9315789473684211,0.7209775967413441,4,0.5907364341085272,0.5880398671096345,48.0,207.15,211.0,0.0,0.9315789473684211,3,0.375,1,0.125
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Normoblast,0.0095,Rare,19,0.0,0.0,0.0,0,,,111.0,205.5,216.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cell,0.0025,Rare,5,0.0,0.0,0.0,0,,,96.0,208.8,211.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Proerythroblast,0.075,Intermediate,150,0.6388888888888888,0.92,0.7540983606557377,1,0.6388888888888888,0.6388888888888888,40.0,183.5,216.0,0.0,0.92,1,0.16666666666666666,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Transitional B,0.0685,Intermediate,137,0.7083333333333334,0.49635036496350365,0.5836909871244635,1,0.7083333333333334,0.7083333333333334,91.0,213.75,216.0,0.0,0.49635036496350365,1,0.1,1,0.1
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,cDC2,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,70.5,186.5,216.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,pDC,0.0025,Rare,5,0.0,0.0,0.0,0,,,70.5,83.55,85.0,0.0,0.0,0,0.0,0,0.0
