metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,20,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,7,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,10,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,7,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,10,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,8,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,10,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,11,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,29,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,60,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,23,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,28,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,11,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,2,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,192,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,25,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,113,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,183,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,133,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,438,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,124,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,7,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,41,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,20,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,47,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,120,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,75,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,57,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,119,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
