metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,193,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,60,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,52,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,1,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,336,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,174,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,9,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,112,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,33,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,49,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,98,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,145,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,61,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,147,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,16,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,8,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,1,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,9,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,24,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,146,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,12,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,7,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,15,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,2,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,17,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,1,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,17,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,7,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,66,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,121,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,19,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
