dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,B1 B,0.0295,Intermediate,59,0.0,0.0,0.0,0,,,26.0,203.9999999999999,281.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD14+ Mono,0.046,Intermediate,92,0.6044776119402985,0.8804347826086957,0.7168141592920354,1,0.6044776119402985,0.6044776119402985,34.0,266.59999999999997,281.0,0.0,0.8804347826086957,1,0.14285714285714285,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD16+ Mono,0.009,Rare,18,0.0,0.0,0.0,0,,,20.0,117.64999999999996,134.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T activated,0.0675,Intermediate,135,0.5263157894736842,0.07407407407407407,0.12987012987012986,3,0.5238095238095238,0.5263157894736842,18.0,281.0,540.0,0.0,0.07407407407407407,1,0.047619047619047616,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T naive,0.0255,Intermediate,51,0.2727272727272727,0.058823529411764705,0.0967741935483871,1,0.2727272727272727,0.2727272727272727,15.0,174.59999999999914,540.0,0.0,0.058823529411764705,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8+ T,0.4265,Common,853,0.7620345140781108,0.9835873388042204,0.8587512794268168,20,0.7206914372816011,0.7620345140781108,15.0,217.39999999999966,540.0,0.009378663540445486,0.9835873388042204,16,0.5517241379310345,13,0.4482758620689655
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroblast,0.0285,Intermediate,57,0.0,0.0,0.0,0,,,128.5,222.54999999999998,233.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,G/M prog,0.005,Rare,10,0.0,0.0,0.0,0,,,12.5,115.84999999999997,134.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,HSC,0.0115,Intermediate,23,0.5,0.30434782608695654,0.3783783783783784,2,0.5,0.5,19.5,264.2,281.0,0.0,0.30434782608695654,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Lymph prog,0.031,Intermediate,62,0.625,0.16129032258064516,0.2564102564102564,2,0.641025641025641,0.625,14.0,252.19999999999993,281.0,0.0,0.16129032258064516,2,0.15384615384615385,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MK/E prog,0.01,Intermediate,20,0.0,0.0,0.0,0,,,61.0,215.79999999999998,233.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK,0.045,Intermediate,90,0.0,0.0,0.0,0,,,22.0,247.39999999999955,540.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive CD20+ B,0.096,Intermediate,192,0.4746666666666667,0.9270833333333334,0.6278659611992946,4,0.5191146228341403,0.4746666666666667,26.0,214.84999999999985,281.0,0.0,0.9270833333333334,2,0.2,1,0.1
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Normoblast,0.0085,Rare,17,0.5,0.11764705882352941,0.19047619047619047,1,0.5,0.5,24.0,212.09999999999997,233.0,0.0,0.11764705882352941,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cell,0.003,Rare,6,0.0,0.0,0.0,0,,,14.0,229.79999999999995,281.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Proerythroblast,0.075,Intermediate,150,0.5758754863813229,0.9866666666666667,0.7272727272727273,2,0.5044706723891274,0.5758754863813229,25.5,202.09999999999994,233.0,0.0,0.9866666666666667,1,0.25,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Transitional B,0.061,Intermediate,122,0.46551724137931033,0.22131147540983606,0.3,3,0.484873949579832,0.46551724137931033,29.5,259.4,281.0,0.0,0.22131147540983606,1,0.1,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,cDC2,0.018,Intermediate,36,0.36363636363636365,0.1111111111111111,0.1702127659574468,1,0.36363636363636365,0.36363636363636365,51.0,449.34999999999985,540.0,0.0,0.1111111111111111,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,pDC,0.0035,Rare,7,0.0,0.0,0.0,0,,,84.0,258.94999999999993,281.0,0.0,0.0,0,0.0,0,0.0
