metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,199,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
1,132,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
2,32,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
3,10,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
4,154,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
5,8,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
6,2,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
7,30,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
8,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
9,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
10,93,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
11,16,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
12,38,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
13,64,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
14,8,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
15,9,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
16,19,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
17,21,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
18,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
19,19,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
20,15,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
21,394,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
22,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
23,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
24,7,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
25,21,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
26,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
27,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
28,97,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
29,71,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
30,30,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
31,279,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
32,8,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
33,14,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
35,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
36,84,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
37,45,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
38,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
39,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
