metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,109,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
1,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
2,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
3,1,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
5,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
6,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
7,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
8,7,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
9,10,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
10,202,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
11,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
12,105,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
13,269,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
14,268,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
15,9,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
16,230,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
17,56,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
18,10,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
19,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
20,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
21,23,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
22,21,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
23,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
24,183,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
25,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
26,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
27,43,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
28,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
29,52,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
30,108,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
31,95,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
32,12,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
33,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
34,40,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
35,21,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
36,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
37,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
38,10,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
39,43,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
