dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,B1 B,0.0405,Intermediate,81,0.3333333333333333,0.012345679012345678,0.023809523809523808,1,0.3333333333333333,0.3333333333333333,67.0,138.39999999999998,151.0,0.0,0.012345679012345678,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD14+ Mono,0.0445,Intermediate,89,0.6822429906542056,0.8202247191011236,0.7448979591836734,1,0.6822429906542056,0.6822429906542056,60.5,187.74999999999997,202.0,0.0,0.8202247191011236,1,0.25,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD16+ Mono,0.0085,Rare,17,0.3333333333333333,0.058823529411764705,0.1,1,0.3333333333333333,0.3333333333333333,87.0,187.74999999999997,202.0,0.0,0.058823529411764705,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T activated,0.07,Intermediate,140,0.25,0.007142857142857143,0.01388888888888889,1,0.25,0.25,31.0,155.19999999999948,382.0,0.0,0.007142857142857143,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T naive,0.03,Intermediate,60,0.0,0.0,0.0,0,,,31.0,180.3999999999998,382.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8+ T,0.4305,Common,861,0.7456445993031359,0.9941927990708479,0.852165256346441,18,0.6721844748338682,0.7456445993031359,30.0,149.95,382.0,0.0011614401858304297,0.9941927990708479,14,0.6363636363636364,7,0.3181818181818182
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroblast,0.0255,Intermediate,51,0.0,0.0,0.0,0,,,141.0,354.99999999999994,382.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,G/M prog,0.005,Rare,10,0.25,0.1,0.14285714285714288,1,0.25,0.25,58.0,187.74999999999997,202.0,0.0,0.1,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,HSC,0.012,Intermediate,24,0.3333333333333333,0.25,0.28571428571428575,2,0.39285714285714285,0.3333333333333333,9.5,165.59999999999994,202.0,0.0,0.25,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Lymph prog,0.01,Intermediate,20,0.42857142857142855,0.45,0.4390243902439024,3,0.4666666666666666,0.42857142857142855,9.0,117.39999999999998,151.0,0.0,0.45,1,0.1111111111111111,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MK/E prog,0.0115,Intermediate,23,0.0,0.0,0.0,0,,,82.5,194.35,202.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK,0.0345,Intermediate,69,0.0,0.0,0.0,0,,,29.0,230.79999999999964,382.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive CD20+ B,0.0965,Intermediate,193,0.5413793103448276,0.8134715025906736,0.6501035196687371,4,0.5680707428512758,0.5413793103448276,39.5,139.45,151.0,0.0,0.8134715025906736,2,0.16666666666666666,1,0.08333333333333333
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Normoblast,0.006,Rare,12,0.0,0.0,0.0,0,,,141.0,354.99999999999994,382.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cell,0.001,Rare,2,0.0,0.0,0.0,0,,,129.0,129.0,129.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Proerythroblast,0.088,Intermediate,176,0.599290780141844,0.9602272727272727,0.7379912663755459,2,0.5693069306930694,0.599290780141844,12.0,171.5,202.0,0.0,0.9602272727272727,1,0.16666666666666666,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Transitional B,0.0675,Intermediate,135,0.5454545454545454,0.4444444444444444,0.4897959183673469,3,0.5009267388547459,0.5454545454545454,31.0,140.0,151.0,0.0,0.4444444444444444,2,0.18181818181818182,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,cDC2,0.017,Intermediate,34,0.5,0.14705882352941177,0.22727272727272727,2,0.7222222222222222,0.5,11.5,159.2499999999999,202.0,0.029411764705882353,0.14705882352941177,1,0.1,1,0.1
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,pDC,0.0015,Rare,3,0.0,0.0,0.0,0,,,10.0,97.3,107.0,0.0,0.0,0,0.0,0,0.0
