metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,24,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,1,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,44,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,9,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,33,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,159,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,31,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,135,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,38,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,107,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,77,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,20,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,12,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,15,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,2,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,39,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,19,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,2,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,19,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,26,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,20,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,253,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,285,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,52,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,46,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,10,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,112,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,44,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,60,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,82,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,184,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,2,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
