dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,B1 B,0.031,Intermediate,62,0.42857142857142855,0.14516129032258066,0.21686746987951808,2,0.38888888888888884,0.42857142857142855,20.0,234.24999999999986,283.0,0.0,0.14516129032258066,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD14+ Mono,0.0445,Intermediate,89,0.5398773006134969,0.9887640449438202,0.6984126984126985,2,0.4277777777777778,0.5398773006134969,44.0,142.1,153.0,0.0,0.9887640449438202,1,0.3333333333333333,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD16+ Mono,0.011,Intermediate,22,0.0,0.0,0.0,0,,,139.5,175.1,179.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T activated,0.0765,Intermediate,153,0.5,0.006535947712418301,0.012903225806451615,1,0.5,0.5,75.0,255.69999999999996,283.0,0.0,0.006535947712418301,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T naive,0.0305,Intermediate,61,0.6666666666666666,0.03278688524590164,0.0625,1,0.6666666666666666,0.6666666666666666,83.0,257.65,283.0,0.0,0.03278688524590164,1,0.07142857142857142,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8+ T,0.419,Common,838,0.7688073394495413,1.0,0.8692946058091287,16,0.7170547477944356,0.7688073394495413,33.0,195.25,244.0,0.00477326968973747,1.0,14,0.875,7,0.4375
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroblast,0.0235,Intermediate,47,0.0,0.0,0.0,0,,,283.0,283.0,283.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,G/M prog,0.007,Rare,14,0.0,0.0,0.0,0,,,31.0,136.64999999999998,153.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,HSC,0.0095,Rare,19,0.0,0.0,0.0,0,,,44.0,230.99999999999994,283.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Lymph prog,0.0305,Intermediate,61,0.6666666666666666,0.19672131147540983,0.30379746835443033,1,0.6666666666666666,0.6666666666666666,44.0,230.99999999999994,283.0,0.0,0.19672131147540983,1,0.1111111111111111,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MK/E prog,0.0145,Intermediate,29,0.5,0.034482758620689655,0.06451612903225806,1,0.5,0.5,144.0,263.49999999999994,283.0,0.0,0.034482758620689655,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK,0.002,Rare,4,0.0,0.0,0.0,0,,,127.0,232.29999999999998,244.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive CD20+ B,0.1035,Common,207,0.68125,0.5265700483091788,0.5940054495912807,10,0.7229693998811647,0.68125,13.0,126.45,135.0,0.024154589371980676,0.5265700483091788,8,0.4,6,0.3
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Normoblast,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,194.5,274.15,283.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cell,0.0055,Rare,11,0.0,0.0,0.0,0,,,126.0,216.69999999999993,244.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Proerythroblast,0.089,Intermediate,178,0.6113074204946997,0.9719101123595506,0.7505422993492407,1,0.6113074204946997,0.6113074204946997,18.0,246.0,283.0,0.0,0.9719101123595506,1,0.16666666666666666,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Transitional B,0.069,Intermediate,138,0.40310077519379844,0.7536231884057971,0.5252525252525252,4,0.4082285115303983,0.40310077519379844,17.0,149.79999999999967,283.0,0.0,0.7536231884057971,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,cDC2,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,126.0,225.79999999999998,244.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,pDC,0.0025,Rare,5,0.0,0.0,0.0,0,,,135.0,151.2,153.0,0.0,0.0,0,0.0,0,0.0
