metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,11,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
1,7,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
2,9,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
3,20,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
4,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
5,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
6,17,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
7,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
8,190,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
9,53,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
10,16,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
11,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
12,39,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
13,7,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
14,1,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
16,24,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
17,65,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
18,8,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
19,25,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
20,32,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
21,286,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
23,100,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
24,149,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
25,36,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
27,56,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
28,18,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
29,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
30,89,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
31,18,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
32,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
33,49,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
34,333,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
35,7,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
36,141,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
37,12,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
38,85,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
39,44,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,37,2000
