dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,B1 B,0.0355,Intermediate,71,0.3333333333333333,0.04225352112676056,0.075,2,0.3333333333333333,0.3333333333333333,19.0,163.5,200.0,0.0,0.04225352112676056,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD14+ Mono,0.0505,Intermediate,101,0.553072625698324,0.9801980198019802,0.7071428571428572,3,0.4615384615384615,0.553072625698324,50.0,97.54999999999998,104.0,0.0,0.9801980198019802,1,0.25,1,0.25
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD16+ Mono,0.009,Rare,18,0.0,0.0,0.0,0,,,39.0,97.5,104.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T activated,0.0665,Intermediate,133,0.41379310344827586,0.09022556390977443,0.14814814814814814,3,0.43452380952380953,0.41379310344827586,16.0,372.99999999999994,465.0,0.0,0.09022556390977443,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T naive,0.0255,Intermediate,51,0.5454545454545454,0.23529411764705882,0.3287671232876712,4,0.553030303030303,0.5454545454545454,16.0,372.99999999999994,465.0,0.0,0.23529411764705882,2,0.11764705882352941,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8+ T,0.4225,Common,845,0.7766355140186916,0.9834319526627219,0.8678851174934726,14,0.705953524156504,0.7766355140186916,14.0,342.4999999999999,465.0,0.0035502958579881655,0.9834319526627219,12,0.5454545454545454,8,0.36363636363636365
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroblast,0.025,Intermediate,50,1.0,0.02,0.0392156862745098,1,1.0,1.0,11.0,136.1,150.0,0.02,0.02,1,0.3333333333333333,1,0.3333333333333333
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,G/M prog,0.0115,Intermediate,23,0.0,0.0,0.0,0,,,39.0,95.39999999999999,104.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,HSC,0.011,Intermediate,22,0.26229508196721313,0.7272727272727273,0.3855421686746988,1,0.26229508196721313,0.26229508196721313,82.5,181.75,200.0,0.0,0.7272727272727273,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Lymph prog,0.036,Intermediate,72,0.5,0.013888888888888888,0.02702702702702703,1,0.5,0.5,36.0,163.5,200.0,0.0,0.013888888888888888,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MK/E prog,0.011,Intermediate,22,0.0,0.0,0.0,0,,,38.5,127.75,150.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK,0.042,Intermediate,84,0.0,0.0,0.0,0,,,26.0,395.99999999999983,465.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive CD20+ B,0.08,Intermediate,160,0.40217391304347827,0.69375,0.5091743119266056,5,0.5471629072681704,0.40217391304347827,19.0,156.1999999999999,200.0,0.00625,0.69375,2,0.15384615384615385,1,0.07692307692307693
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Normoblast,0.002,Rare,4,0.0,0.0,0.0,0,,,150.0,150.0,150.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cell,0.003,Rare,6,0.0,0.0,0.0,0,,,28.5,175.84999999999994,200.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Proerythroblast,0.0805,Intermediate,161,0.6875,0.9565217391304348,0.8,5,0.7300676691729324,0.6875,40.0,279.9999999999999,350.0,0.037267080745341616,0.9565217391304348,4,0.5,3,0.375
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Transitional B,0.0715,Intermediate,143,0.3779527559055118,0.3356643356643357,0.35555555555555557,1,0.3779527559055118,0.3779527559055118,27.5,167.14999999999992,200.0,0.0,0.3356643356643357,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,cDC2,0.0155,Intermediate,31,0.0,0.0,0.0,0,,,40.5,166.39999999999995,200.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,pDC,0.0015,Rare,3,0.0,0.0,0.0,0,,,39.0,41.7,42.0,0.0,0.0,0,0.0,0,0.0
