metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,58,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,53,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,254,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,8,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,241,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,27,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,74,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,324,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,10,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,240,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,9,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,8,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,10,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,33,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,124,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,1,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,232,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,12,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,37,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,17,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,11,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,20,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,22,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,39,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,41,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,26,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,11,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
