metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,10,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,2,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,14,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,38,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,31,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,46,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,9,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,14,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,7,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,196,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,15,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,23,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,24,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,12,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,88,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,60,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,260,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,16,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,45,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,40,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,150,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,12,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,11,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,31,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,18,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,13,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,349,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,162,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,233,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
