dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,B1 B,0.0335,Intermediate,67,0.0,0.0,0.0,0,,,27.5,199.7999999999999,260.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD14+ Mono,0.0465,Intermediate,93,0.5027027027027027,1.0,0.6690647482014388,4,0.5489969135802469,0.5027027027027027,10.0,140.09999999999994,162.0,0.0,1.0,2,0.5,1,0.25
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD16+ Mono,0.009,Rare,18,0.0,0.0,0.0,0,,,13.0,140.09999999999994,162.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T activated,0.0655,Intermediate,131,0.3333333333333333,0.04580152671755725,0.08053691275167785,2,0.35384615384615387,0.3333333333333333,23.5,258.65,349.0,0.0,0.04580152671755725,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T naive,0.0335,Intermediate,67,0.5,0.014925373134328358,0.02898550724637681,1,0.5,0.5,23.5,250.39999999999984,349.0,0.0,0.014925373134328358,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8+ T,0.417,Common,834,0.7488667271078876,0.9904076738609112,0.8528652555498193,20,0.6278202378065096,0.7488667271078876,16.5,253.25,349.0,0.0,0.9904076738609112,15,0.5769230769230769,5,0.19230769230769232
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroblast,0.0245,Intermediate,49,0.2,0.02040816326530612,0.03703703703703703,1,0.2,0.2,13.0,143.14999999999992,196.0,0.0,0.02040816326530612,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,G/M prog,0.0085,Rare,17,0.3333333333333333,0.11764705882352941,0.1739130434782609,2,0.3333333333333333,0.3333333333333333,3.0,146.1,162.0,0.0,0.11764705882352941,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,HSC,0.0075,Rare,15,0.0,0.0,0.0,0,,,31.0,240.79999999999995,260.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Lymph prog,0.033,Intermediate,66,0.0,0.0,0.0,0,,,35.5,237.59999999999997,260.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MK/E prog,0.0095,Rare,19,0.0,0.0,0.0,0,,,14.0,158.25,196.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK,0.038,Intermediate,76,0.0,0.0,0.0,0,,,38.0,295.59999999999985,349.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive CD20+ B,0.088,Intermediate,176,0.5254237288135594,0.5284090909090909,0.5269121813031161,4,0.5399594581046194,0.5254237288135594,15.0,191.19999999999993,260.0,0.0,0.5284090909090909,3,0.3333333333333333,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Normoblast,0.01,Intermediate,20,0.0,0.0,0.0,0,,,13.5,168.69999999999993,196.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cell,0.002,Rare,4,0.0,0.0,0.0,0,,,88.0,242.79999999999998,260.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Proerythroblast,0.0825,Intermediate,165,0.6598360655737705,0.9757575757575757,0.787286063569682,5,0.634911913483342,0.6598360655737705,13.0,135.59999999999994,196.0,0.0,0.9757575757575757,4,0.4444444444444444,2,0.2222222222222222
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Transitional B,0.074,Intermediate,148,0.4346153846153846,0.7635135135135135,0.553921568627451,1,0.4346153846153846,0.4346153846153846,66.5,317.84999999999997,349.0,0.0,0.7635135135135135,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,cDC2,0.0135,Intermediate,27,0.0,0.0,0.0,0,,,13.0,125.0,162.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,pDC,0.004,Rare,8,0.0,0.0,0.0,0,,,211.0,255.1,260.0,0.0,0.0,0,0.0,0,0.0
