metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,45,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
1,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
2,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
3,42,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
5,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
6,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
7,32,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
8,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
9,5,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
10,11,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
11,2,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
12,115,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
13,12,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
15,14,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
16,40,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
17,15,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
18,39,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
19,10,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
20,222,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
21,78,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
22,75,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
23,1,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
24,338,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
25,6,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
26,4,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
27,1,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
28,9,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
29,206,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
30,41,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
31,132,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
32,10,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
33,160,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
34,3,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
35,156,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
36,77,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
37,66,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
38,9,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
39,2,D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
