dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,B1 B,0.033,Intermediate,66,0.375,0.045454545454545456,0.08108108108108107,1,0.375,0.375,15.0,247.75,598.0,0.0,0.045454545454545456,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD14+ Mono,0.0435,Intermediate,87,0.5379746835443038,0.9770114942528736,0.6938775510204082,2,0.5238636363636364,0.5379746835443038,79.0,96.5,98.0,0.0,0.9770114942528736,1,0.25,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD16+ Mono,0.009,Rare,18,0.0,0.0,0.0,0,,,79.0,87.1,88.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T activated,0.075,Intermediate,150,0.43333333333333335,0.08666666666666667,0.14444444444444446,5,0.4583333333333333,0.43333333333333335,18.0,321.19999999999976,598.0,0.0,0.08666666666666667,1,0.058823529411764705,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4+ T naive,0.035,Intermediate,70,0.3333333333333333,0.07142857142857142,0.11764705882352941,1,0.3333333333333333,0.3333333333333333,16.5,407.69999999999976,598.0,0.0,0.07142857142857142,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8+ T,0.407,Common,814,0.7348066298342542,0.9803439803439803,0.8399999999999999,12,0.6836938510075155,0.7348066298342542,15.0,252.0,598.0,0.002457002457002457,0.9803439803439803,9,0.42857142857142855,5,0.23809523809523808
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroblast,0.028,Intermediate,56,0.625,0.08928571428571429,0.15625,1,0.625,0.625,156.5,545.7999999999998,598.0,0.0,0.08928571428571429,1,0.25,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,G/M prog,0.005,Rare,10,0.0,0.0,0.0,0,,,79.0,87.1,88.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,HSC,0.0135,Intermediate,27,0.6,0.1111111111111111,0.18750000000000003,2,0.5833333333333333,0.6,31.5,177.09999999999982,250.0,0.0,0.1111111111111111,1,0.1,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Lymph prog,0.0345,Intermediate,69,0.4117647058823529,0.4057971014492754,0.40875912408759124,2,0.35566188197767146,0.4117647058823529,23.0,172.64999999999995,250.0,0.0,0.4057971014492754,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MK/E prog,0.0135,Intermediate,27,0.5,0.07407407407407407,0.12903225806451613,1,0.5,0.5,11.0,185.19999999999993,250.0,0.0,0.07407407407407407,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK,0.0385,Intermediate,77,0.0,0.0,0.0,0,,,18.0,425.0,598.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive CD20+ B,0.087,Intermediate,174,0.5123674911660777,0.8333333333333334,0.6345733041575492,7,0.5903346882367072,0.5123674911660777,14.0,224.39999999999966,598.0,0.0,0.8333333333333334,4,0.23529411764705882,2,0.11764705882352941
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Normoblast,0.007,Rare,14,0.0,0.0,0.0,0,,,129.0,237.89999999999998,250.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cell,0.003,Rare,6,0.0,0.0,0.0,0,,,64.0,124.3,131.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Proerythroblast,0.09,Intermediate,180,0.664,0.9222222222222223,0.7720930232558141,1,0.664,0.664,17.5,441.39999999999964,598.0,0.0,0.9222222222222223,1,0.1,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Transitional B,0.066,Intermediate,132,0.4235294117647059,0.2727272727272727,0.3317972350230414,5,0.5159863945578231,0.4235294117647059,32.0,321.19999999999976,598.0,0.0,0.2727272727272727,1,0.058823529411764705,1,0.058823529411764705
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,cDC2,0.01,Intermediate,20,0.0,0.0,0.0,0,,,88.0,233.79999999999998,250.0,0.0,0.0,0,0.0,0,0.0
D11,GARQ,0,diagnostic_variant_rare_subsampling,0.02,pDC,0.0015,Rare,3,0.0,0.0,0.0,0,,,70.0,86.2,88.0,0.0,0.0,0,0.0,0,0.0
