metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,45,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,25,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,135,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,13,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,72,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,91,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,18,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,26,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,48,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,38,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,118,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,45,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,15,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,104,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,34,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,32,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,30,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,13,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,30,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,116,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,165,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,162,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,65,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,15,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,86,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,19,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,86,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,41,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,204,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,33,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,14,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
