dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.005,Rare,10,0.0,0.0,0.0,0,,,100.5,359.75,394.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.079,Intermediate,158,0.65,0.16455696202531644,0.26262626262626265,4,0.5706521739130435,0.65,14.5,296.7999999999998,394.0,0.0,0.16455696202531644,2,0.2,1,0.1
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.071,Intermediate,142,0.3553299492385787,0.9859154929577465,0.5223880597014925,1,0.3553299492385787,0.3553299492385787,23.0,356.9,394.0,0.0,0.9859154929577465,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,23.0,356.9,394.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.0235,Intermediate,47,0.0,0.0,0.0,0,,,88.0,159.2,178.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.2325,Common,465,0.7320574162679426,0.9870967741935484,0.8406593406593406,12,0.7388997168418041,0.7320574162679426,54.0,163.0,178.0,0.043010752688172046,0.9870967741935484,9,0.5625,7,0.4375
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.051,Intermediate,102,0.24719101123595505,0.43137254901960786,0.3142857142857143,1,0.24719101123595505,0.24719101123595505,33.0,201.69999999999993,257.0,0.0,0.43137254901960786,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.0355,Intermediate,71,0.2857142857142857,0.028169014084507043,0.05128205128205127,1,0.2857142857142857,0.2857142857142857,103.0,329.1999999999998,394.0,0.0,0.028169014084507043,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.0355,Intermediate,71,0.0,0.0,0.0,0,,,103.5,361.5999999999999,394.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.098,Intermediate,196,0.5218855218855218,0.7908163265306123,0.6288032454361054,2,0.5337548638132297,0.5218855218855218,99.0,242.14999999999998,257.0,0.0,0.7908163265306123,2,0.5,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroid ,0.003,Rare,6,0.8571428571428571,1.0,0.923076923076923,1,0.8571428571428571,0.8571428571428571,7.0,7.0,7.0,0.0,1.0,1,1.0,1,1.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MAIT-NKT cells,0.043,Intermediate,86,0.5,0.1744186046511628,0.25862068965517243,2,0.7413793103448276,0.5,29.0,154.5,178.0,0.011627906976744186,0.1744186046511628,1,0.09090909090909091,1,0.09090909090909091
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Memory B,0.0205,Intermediate,41,0.5714285714285714,0.0975609756097561,0.16666666666666669,1,0.5714285714285714,0.5714285714285714,7.0,146.5,162.0,0.0,0.0975609756097561,1,0.3333333333333333,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-T doublets,0.02,Intermediate,40,0.42105263157894735,0.2,0.2711864406779661,1,0.42105263157894735,0.42105263157894735,118.0,340.0,394.0,0.0,0.2,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-monocyte doublets,0.012,Intermediate,24,0.0,0.0,0.0,0,,,158.0,247.1,257.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive B,0.055,Intermediate,110,0.6790123456790124,1.0,0.8088235294117647,1,0.6790123456790124,0.6790123456790124,162.0,162.0,162.0,0.0,1.0,1,1.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Neutrophils,0.032,Intermediate,64,0.0,0.0,0.0,0,,,158.0,247.1,257.0,0.0,0.0,0,0.0,0,0.0
