metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,166,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
1,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
2,36,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
3,240,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
4,39,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
6,20,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
7,96,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
8,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
9,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
10,165,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
11,49,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
12,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
13,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
14,170,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
15,15,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
16,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
17,11,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
18,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
19,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
20,184,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
21,37,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
22,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
23,20,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
24,15,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
25,10,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
26,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
27,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
28,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
29,49,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
30,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
31,11,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
32,185,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
33,18,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
34,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
35,28,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
36,26,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
37,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
38,213,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
39,111,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
