dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.0085,Rare,17,0.0,0.0,0.0,0,,,180.0,346.79999999999995,365.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.0825,Intermediate,165,0.4076655052264808,0.7090909090909091,0.5176991150442478,2,0.5065974171813588,0.4076655052264808,24.0,231.6999999999999,274.0,0.0,0.7090909090909091,1,0.1,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.071,Intermediate,142,0.4461538461538462,0.20422535211267606,0.28019323671497587,3,0.47733516483516486,0.4461538461538462,26.0,236.39999999999998,274.0,0.0,0.20422535211267606,1,0.1111111111111111,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.01,Intermediate,20,0.5,0.05,0.09090909090909091,1,0.5,0.5,26.0,209.49999999999983,274.0,0.0,0.05,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.0175,Intermediate,35,0.0,0.0,0.0,0,,,22.5,434.5,565.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.2245,Common,449,0.7380560131795717,0.9977728285077951,0.8484848484848485,6,0.9054974524001073,0.7380560131795716,12.0,408.39999999999964,565.0,0.0334075723830735,0.9977728285077951,6,0.8571428571428571,6,0.8571428571428571
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.059,Intermediate,118,0.75,0.025423728813559324,0.04918032786885246,3,0.8333333333333334,0.75,13.0,333.99999999999943,565.0,0.01694915254237288,0.025423728813559324,2,0.15384615384615385,2,0.15384615384615385
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.0385,Intermediate,77,0.25,0.09090909090909091,0.13333333333333333,3,0.32051282051282054,0.25,27.5,404.9499999999998,565.0,0.0,0.09090909090909091,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.0475,Intermediate,95,0.3950617283950617,0.3368421052631579,0.36363636363636365,2,0.3994607087827427,0.3950617283950617,22.0,227.0,274.0,0.0,0.3368421052631579,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.092,Intermediate,184,0.4931506849315068,0.9782608695652174,0.6557377049180326,1,0.4931506849315068,0.4931506849315068,101.5,336.79999999999995,365.0,0.0,0.9782608695652174,0,0.0,0,0.0
