metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
1,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
2,19,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
3,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
4,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
6,73,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
7,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
8,102,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
9,54,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
10,44,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
11,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
12,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
13,75,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
14,106,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
15,58,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
16,110,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
17,17,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
18,24,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
19,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
20,264,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
21,246,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
22,27,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
23,15,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
24,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
25,55,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
26,19,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
27,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
28,147,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
29,25,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
30,114,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
31,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
32,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
33,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
35,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
36,300,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
37,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
38,10,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
39,5,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,38,2000
