dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.006,Rare,12,0.0,0.0,0.0,0,,,34.0,334.0,365.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.086,Intermediate,172,0.3791469194312796,0.9302325581395349,0.5387205387205387,6,0.43360193392425467,0.3791469194312796,13.0,218.74999999999966,365.0,0.0,0.9302325581395349,1,0.1,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.0725,Intermediate,145,0.35555555555555557,0.1103448275862069,0.16842105263157894,2,0.55,0.35555555555555557,20.0,251.24999999999983,365.0,0.0,0.1103448275862069,1,0.125,1,0.125
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.0235,Intermediate,47,0.0,0.0,0.0,0,,,27.0,251.24999999999983,365.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.005,Rare,10,0.0,0.0,0.0,0,,,82.0,258.0,270.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.222,Common,444,0.9123595505617977,0.9144144144144144,0.9133858267716536,7,0.8118377728554347,0.9123595505617977,27.0,324.8999999999999,392.0,0.03153153153153153,0.9144144144144144,6,0.5,6,0.5
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.0545,Intermediate,109,0.3283018867924528,0.7981651376146789,0.4652406417112299,3,0.49220354808590105,0.3283018867924528,19.0,225.0,270.0,0.0,0.7981651376146789,1,0.0625,1,0.0625
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.0325,Intermediate,65,0.391304347826087,0.13846153846153847,0.20454545454545456,2,0.4666666666666667,0.391304347826087,16.0,240.9999999999999,365.0,0.0,0.13846153846153847,1,0.058823529411764705,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.044,Intermediate,88,0.40425531914893614,0.2159090909090909,0.2814814814814815,4,0.5555555555555556,0.40425531914893614,14.0,218.74999999999966,365.0,0.011363636363636364,0.2159090909090909,1,0.1,1,0.1
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.0945,Intermediate,189,0.4744897959183674,0.9841269841269841,0.640275387263339,1,0.4744897959183674,0.4744897959183674,217.0,374.5,392.0,0.0,0.9841269841269841,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroid ,0.0075,Rare,15,0.9375,1.0,0.967741935483871,1,0.9375,0.9375,16.0,16.0,16.0,0.0,1.0,1,1.0,1,1.0
