metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,48,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
1,23,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
2,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
3,21,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
4,37,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
5,19,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
6,48,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
7,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
8,57,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
9,57,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
10,26,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
11,62,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
12,157,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
13,67,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
15,100,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
16,57,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
17,81,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
18,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
19,25,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
20,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
21,153,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
22,37,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
23,46,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
24,14,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
25,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
26,10,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
27,278,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
28,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
29,15,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
30,237,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
31,15,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
32,33,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
33,19,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
34,46,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
35,22,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
36,14,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
37,80,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
38,52,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
39,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,39,2000
