dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.0045,Rare,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,2,0.225,0.2222222222222222,81.0,178.4,183.0,0.0,0.2222222222222222,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.096,Intermediate,192,0.4574468085106383,0.8958333333333334,0.6056338028169014,3,0.45346187282662687,0.4574468085106383,20.0,169.19999999999996,183.0,0.0,0.8958333333333334,1,0.07692307692307693,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.0775,Intermediate,155,0.5714285714285714,0.33548387096774196,0.4227642276422765,3,0.6518518518518519,0.5714285714285714,23.5,172.64999999999998,183.0,0.0,0.33548387096774196,3,0.3,1,0.1
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.021,Intermediate,42,0.0,0.0,0.0,0,,,79.0,176.1,183.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.019,Intermediate,38,0.0,0.0,0.0,0,,,105.0,198.99999999999997,220.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.22,Common,440,0.782,0.8886363636363637,0.8319148936170213,12,0.7885331668899442,0.782,12.0,162.5999999999999,220.0,0.020454545454545454,0.8886363636363637,9,0.6,8,0.5333333333333333
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.056,Intermediate,112,0.28,0.5625,0.3738872403560831,2,0.3386363636363636,0.28,20.0,171.99999999999994,220.0,0.0,0.5625,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.005,Rare,10,0.0,0.0,0.0,0,,,23.0,208.0,220.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.046,Intermediate,92,0.5283018867924528,0.6086956521739131,0.5656565656565657,3,0.4823573051421152,0.5283018867924528,11.0,124.44999999999992,160.0,0.0,0.6086956521739131,1,0.1,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.093,Intermediate,186,0.5181058495821727,1.0,0.6825688073394495,2,0.5331120943952803,0.5181058495821727,179.5,323.05,339.0,0.0,1.0,2,1.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroid ,0.003,Rare,6,0.0,0.0,0.0,0,,,109.0,177.4,185.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MAIT-NKT cells,0.05,Intermediate,100,0.6206896551724138,0.36,0.45569620253164556,4,0.6306159420289854,0.6206896551724138,23.0,195.99999999999997,220.0,0.0,0.36,3,0.3333333333333333,1,0.1111111111111111
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Memory B,0.021,Intermediate,42,0.0,0.0,0.0,0,,,185.0,185.0,185.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-T doublets,0.0215,Intermediate,43,0.0,0.0,0.0,0,,,78.0,195.99999999999997,220.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-monocyte doublets,0.0125,Intermediate,25,0.0,0.0,0.0,0,,,179.5,323.05,339.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive B,0.0545,Intermediate,109,0.5797872340425532,1.0,0.734006734006734,2,0.7864864864864864,0.5797872340425532,94.0,175.89999999999998,185.0,0.027522935779816515,1.0,2,1.0,1,0.5
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Neutrophils,0.0245,Intermediate,49,0.0,0.0,0.0,0,,,179.5,323.05,339.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Non classical monocytes,0.05,Intermediate,100,1.0,0.5,0.6666666666666666,1,1.0,1.0,51.0,295.9499999999999,339.0,0.5,0.5,1,0.25,1,0.25
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cells,0.001,Rare,2,0.0,0.0,0.0,0,,,98.5,176.35,185.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelet-T cell doublets,0.0035,Rare,7,0.4166666666666667,0.7142857142857143,0.5263157894736842,1,0.4166666666666667,0.4166666666666667,160.0,180.7,183.0,0.0,0.7142857142857143,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelet-bound monocytes,0.0195,Intermediate,39,0.0,0.0,0.0,0,,,339.0,339.0,339.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelets,0.0045,Rare,9,0.0,0.0,0.0,0,,,20.0,307.09999999999997,339.0,0.0,0.0,0,0.0,0,0.0
