dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.0045,Rare,9,0.0,0.0,0.0,0,,,127.0,214.0,225.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.0905,Intermediate,181,0.5210526315789473,0.5469613259668509,0.5336927223719676,3,0.5033991652682759,0.5210526315789473,11.0,195.59999999999994,225.0,0.0,0.5469613259668509,1,0.14285714285714285,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.0735,Intermediate,147,0.44017094017094016,0.7006802721088435,0.5406824146981628,2,0.6022222222222222,0.44017094017094016,94.0,210.29999999999995,225.0,0.0,0.7006802721088435,1,0.25,1,0.25
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,127.0,215.2,225.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.0125,Intermediate,25,0.38461538461538464,0.2,0.2631578947368421,2,0.35,0.38461538461538464,35.0,172.1499999999998,250.0,0.0,0.2,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.215,Common,430,0.8131021194605009,0.9813953488372092,0.8893572181243413,9,0.8514013669362507,0.8131021194605009,11.0,149.79999999999976,250.0,0.05581395348837209,0.9813953488372092,9,0.6923076923076923,7,0.5384615384615384
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.067,Intermediate,134,0.5701754385964912,0.48507462686567165,0.5241935483870969,4,0.5544450529390289,0.5701754385964912,13.0,193.99999999999991,250.0,0.0,0.48507462686567165,3,0.2,1,0.06666666666666667
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.0385,Intermediate,77,0.49019607843137253,0.3246753246753247,0.39062499999999994,5,0.5731468531468531,0.49019607843137253,14.0,189.24999999999997,225.0,0.012987012987012988,0.3246753246753247,3,0.21428571428571427,1,0.07142857142857142
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.005,Rare,10,0.0,0.0,0.0,0,,,127.0,215.2,225.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.105,Common,210,0.6483050847457628,0.7285714285714285,0.6860986547085203,2,0.5917951444267233,0.6483050847457628,117.5,208.85,209.0,0.0,0.7285714285714285,2,0.5,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroid ,0.005,Rare,10,0.0,0.0,0.0,0,,,48.0,207.29999999999998,225.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MAIT-NKT cells,0.043,Intermediate,86,0.38596491228070173,0.7674418604651163,0.5136186770428016,2,0.6911764705882353,0.38596491228070173,19.5,236.24999999999997,250.0,0.011627906976744186,0.7674418604651163,1,0.08333333333333333,1,0.08333333333333333
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Memory B,0.0175,Intermediate,35,0.0,0.0,0.0,0,,,123.5,159.95,164.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-T doublets,0.0225,Intermediate,45,0.0,0.0,0.0,0,,,55.0,217.99999999999997,250.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-monocyte doublets,0.0115,Intermediate,23,0.5555555555555556,0.21739130434782608,0.3125,1,0.5555555555555556,0.5555555555555556,135.5,208.85,209.0,0.0,0.21739130434782608,1,0.25,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive B,0.056,Intermediate,112,0.6829268292682927,1.0,0.8115942028985507,1,0.6829268292682927,0.6829268292682927,164.0,164.0,164.0,0.0,1.0,1,1.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Neutrophils,0.029,Intermediate,58,1.0,0.017241379310344827,0.03389830508474576,1,1.0,1.0,117.5,208.85,209.0,0.017241379310344827,0.017241379310344827,1,0.25,1,0.25
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Non classical monocytes,0.057,Intermediate,114,0.37109375,0.8333333333333334,0.5135135135135135,2,0.33253205128205127,0.37109375,83.0,237.69999999999996,250.0,0.0,0.8333333333333334,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cells,0.0035,Rare,7,0.6666666666666666,0.5714285714285714,0.6153846153846153,1,0.6666666666666666,0.6666666666666666,48.0,152.39999999999998,164.0,0.0,0.5714285714285714,1,0.3333333333333333,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelet-T cell doublets,0.0035,Rare,7,0.0,0.0,0.0,0,,,73.0,211.25,225.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelet-bound monocytes,0.02,Intermediate,40,0.0,0.0,0.0,0,,,128.0,208.85,209.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelets,0.005,Rare,10,0.0,0.0,0.0,0,,,128.0,200.0,208.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Proliferating T and NK cell,0.005,Rare,10,0.0,0.0,0.0,0,,,127.0,234.0,250.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Regulatory T cells,0.009,Rare,18,0.0,0.0,0.0,0,,,127.0,214.0,225.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,T-NK-B cell doublets,0.0205,Intermediate,41,0.6,0.07317073170731707,0.13043478260869565,1,0.6,0.6,55.0,197.0,208.0,0.0,0.07317073170731707,1,0.16666666666666666,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,conventional DC,0.01,Intermediate,20,0.0,0.0,0.0,0,,,48.0,208.8,209.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,gdT cells,0.0475,Intermediate,95,0.4838709677419355,0.15789473684210525,0.23809523809523808,2,0.4907407407407407,0.4838709677419355,21.0,205.99999999999994,250.0,0.0,0.15789473684210525,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,plasmacytoid DC,0.005,Rare,10,0.0,0.0,0.0,0,,,48.0,192.0,208.0,0.0,0.0,0,0.0,0,0.0
