metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,42,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,15,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,100,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,18,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,294,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,32,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,116,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,11,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,35,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,20,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,38,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,40,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,225,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,11,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,68,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,194,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,19,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,49,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,17,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,36,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,31,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,46,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,318,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,46,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,96,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,6,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,14,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
