dataset,method,seed,implementation_tag,resolution,cell_type,abundance,abundance_class,support,cell_precision,cell_recall,cell_f1,dominant_metacell_count,purity_unweighted,purity_weighted,involved_metacell_size_median,involved_metacell_size_p95,involved_metacell_size_max,strict_recovery,majority_recovery,majority_retention_metacell_count,majority_retention,high_purity_recovery_metacell_count,high_purity_recovery
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 and CD8 activated memory,0.008,Rare,16,0.3333333333333333,0.125,0.18181818181818182,2,0.375,0.3333333333333333,75.0,163.6,170.0,0.0,0.125,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 memory,0.0905,Intermediate,181,0.4396551724137931,0.8453038674033149,0.5784499054820416,6,0.4878162225663891,0.4396551724137931,49.5,161.2,170.0,0.0,0.8453038674033149,3,0.25,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive I,0.079,Intermediate,158,0.4953271028037383,0.6708860759493671,0.5698924731182796,3,0.5410183428209994,0.4953271028037383,36.0,139.0,154.0,0.0,0.6708860759493671,2,0.18181818181818182,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD4 naive II,0.018,Intermediate,36,0.0,0.0,0.0,0,,,79.0,144.99999999999997,154.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56bright CD16dim NK,0.0195,Intermediate,39,1.0,0.02564102564102564,0.05,1,1.0,1.0,21.0,152.0,154.0,0.02564102564102564,0.02564102564102564,1,0.09090909090909091,1,0.09090909090909091
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD56dim CD16bright NK,0.219,Common,438,0.8159392789373814,0.9817351598173516,0.8911917098445595,10,0.816320678456705,0.8159392789373814,28.0,191.7,232.0,0.0,0.9817351598173516,10,0.7142857142857143,9,0.6428571428571429
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 effector,0.06,Intermediate,120,0.0,0.0,0.0,0,,,71.0,160.39999999999998,170.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 memory,0.04,Intermediate,80,0.4,0.175,0.2434782608695652,2,0.5208333333333333,0.4,77.0,161.2,170.0,0.0,0.175,1,0.08333333333333333,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,CD8 naive,0.0385,Intermediate,77,1.0,0.012987012987012988,0.025641025641025647,1,1.0,1.0,49.5,140.49999999999997,154.0,0.012987012987012988,0.012987012987012988,1,0.1,1,0.1
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Classical monocytes,0.103,Common,206,0.5621301775147929,0.9223300970873787,0.698529411764706,2,0.5324495770982434,0.5621301775147929,24.0,194.1999999999999,232.0,0.0,0.9223300970873787,1,0.14285714285714285,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Erythroid ,0.003,Rare,6,0.6666666666666666,0.3333333333333333,0.4444444444444444,1,0.6666666666666666,0.6666666666666666,15.0,23.099999999999998,24.0,0.0,0.3333333333333333,1,0.3333333333333333,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,MAIT-NKT cells,0.002,Rare,4,0.0,0.0,0.0,0,,,154.0,168.4,170.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Memory B,0.0205,Intermediate,41,0.0,0.0,0.0,0,,,101.0,159.5,166.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-T doublets,0.0245,Intermediate,49,0.5714285714285714,0.24489795918367346,0.3428571428571428,1,0.5714285714285714,0.5714285714285714,55.0,164.39999999999998,170.0,0.0,0.24489795918367346,1,0.125,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,NK-monocyte doublets,0.0135,Intermediate,27,0.3333333333333333,0.18518518518518517,0.23809523809523808,1,0.3333333333333333,0.3333333333333333,106.0,219.39999999999998,232.0,0.0,0.18518518518518517,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Naive B,0.054,Intermediate,108,0.6265060240963856,0.9629629629629629,0.7591240875912408,1,0.6265060240963856,0.6265060240963856,101.0,159.5,166.0,0.0,0.9629629629629629,1,0.5,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Neutrophils,0.031,Intermediate,62,0.0,0.0,0.0,0,,,58.0,206.79999999999998,232.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Non classical monocytes,0.0465,Intermediate,93,0.5876288659793815,0.6129032258064516,0.6,3,0.6231800766283525,0.5876288659793815,58.0,205.59999999999997,232.0,0.0,0.6129032258064516,2,0.2222222222222222,1,0.1111111111111111
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Plasma cells,0.0025,Rare,5,0.0,0.0,0.0,0,,,101.0,159.5,166.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelet-T cell doublets,0.004,Rare,8,0.0,0.0,0.0,0,,,30.0,69.14999999999999,75.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelet-bound monocytes,0.016,Intermediate,32,0.0,0.0,0.0,0,,,106.0,219.39999999999998,232.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Platelets,0.003,Rare,6,0.0,0.0,0.0,0,,,24.0,99.8,106.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Proliferating T and NK cell,0.0055,Rare,11,0.0,0.0,0.0,0,,,75.0,162.0,170.0,0.0,0.0,0,0.0,0,0.0
D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,Regulatory T cells,0.01,Intermediate,20,0.0,0.0,0.0,0,,,75.0,133.29999999999995,154.0,0.0,0.0,0,0.0,0,0.0
