metacell_id,size,dataset,method,seed,implementation_tag,resolution,requested_K,realized_K,n_cells
0,11,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
1,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
2,26,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
3,87,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
4,63,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
5,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
6,28,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
7,160,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
8,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
9,113,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
10,39,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
11,254,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
12,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
13,8,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
14,3,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
15,4,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
16,495,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
17,21,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
18,13,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
19,12,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
20,158,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
21,26,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
22,26,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
23,34,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
24,13,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
25,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
26,34,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
27,11,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
28,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
29,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
30,17,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
31,31,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
32,9,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
33,7,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
34,14,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
35,52,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
36,1,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
37,2,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
38,82,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
39,125,D5,GARQ,0,diagnostic_variant_rare_subsampling,0.02,40,40,2000
